pair	id	zscore_h	zscore_v	ratio_h	ratio_v
H4 x V8	CONTROL_IgG/ AF647 555	3.91736767919	4.35830587242	1.59078378501	1.93654128704
H4 x V9	CONTROL_IgG/ AF647 555	3.91736767919	3.36732392211	1.59078378501	1.34017737837
H4 x V11	CONTROL_IgG 488/594	2.62141589064	2.87343797134	1.40310261664	1.32795785366
H4 x V11	CONTROL_IgG/ AF647 555	3.91736767919	4.09310655622	1.59078378501	1.471673283
H4 x V12	CONTROL_IgG 488/594	2.62141589064	3.99095267016	1.40310261664	4.11123937157
H4 x V12	CONTROL_IgG/ AF647 555	3.91736767919	4.98018567143	1.59078378501	4.85898228555
H5 x V1	CONTROL_IgG/ AF647 555	2.95330361857	4.31582575875	2.5521973977	2.16909485782
H5 x V2	CONTROL_IgG/ AF647 555	2.95330361857	6.3994184111	2.5521973977	2.32991609881
H5 x V3	CONTROL_IgG/ AF647 555	2.95330361857	7.58477221359	2.5521973977	3.08446393273
H5 x V5	CONTROL_IgG/ AF647 555	2.95330361857	3.29761032857	2.5521973977	1.5339520482
H5 x V6	CONTROL_IgG/ AF647 555	2.95330361857	4.83373548489	2.5521973977	1.61501959099
H5 x V7	CONTROL_IgG/ AF647 555	2.95330361857	6.15783833343	2.5521973977	2.02015782421
H5 x V8	CONTROL_IgG/ AF647 555	2.95330361857	4.35830587242	2.5521973977	1.93654128704
H5 x V9	CONTROL_IgG/ AF647 555	2.95330361857	3.36732392211	2.5521973977	1.34017737837
H5 x V11	CONTROL_IgG/ AF647 555	2.95330361857	4.09310655622	2.5521973977	1.471673283
H5 x V12	CONTROL_IgG/ AF647 555	2.95330361857	4.98018567143	2.5521973977	4.85898228555
H6 x V2	IOH28242_OR5AN1	3.74835925492	2.76906095384	2.19717247325	1.59841193037
H6 x V5	IOH28242_OR5AN1	3.74835925492	5.20191268787	2.19717247325	1.81366502599
H6 x V7	IOH28242_OR5AN1	3.74835925492	5.81315688623	2.19717247325	1.96522483554
H7 x V5	IOH12916_MB	3.10380182924	2.99289673751	1.28218982727	1.48919426826
H7 x V5	IOH9934_TALDO1	2.5395906404	3.53831729473	1.23101832734	1.56930823098
H7 x V6	IOH12916_MB	3.10380182924	2.57625099936	1.28218982727	1.33741558911
H7 x V10	IOH9894_YIPF1	2.74131854138	5.31398236317	1.24931417023	1.63138595724
H8 x V1	CONTROL_IgG/ AF647 555	4.02854528461	4.31582575875	1.39348095679	2.16909485782
H8 x V2	CONTROL_IgG/ AF647 555	4.02854528461	6.3994184111	1.39348095679	2.32991609881
H8 x V2	IOH12787_MS4A4A	2.86185280376	2.53215685681	1.28021747686	1.55067659396
H8 x V2	IOH28242_OR5AN1	3.05742319127	2.76906095384	1.29920361333	1.59841193037
H8 x V3	CONTROL_IgG/ AF647 555	4.02854528461	7.58477221359	1.39348095679	3.08446393273
H8 x V5	CONTROL_IgG/ AF647 555	4.02854528461	3.29761032857	1.39348095679	1.5339520482
H8 x V5	IOH11347_HBZ	4.14044347234	2.86917637995	1.40434412627	1.47102163436
H8 x V5	IOH11926_CLGN	2.94297581474	2.64672484983	1.28809296648	1.43834689675
H8 x V5	IOH12916_MB	3.09000895935	2.99289673751	1.3023670669	1.48919426826
H8 x V5	IOH21078_PIK4CA	2.70307807291	3.41608452614	1.26480349345	1.55135410121
H8 x V5	IOH28242_OR5AN1	3.05742319127	5.20191268787	1.29920361333	1.81366502599
H8 x V5	IOH6655_GLUD2	2.56430076271	4.35397597075	1.25133087633	1.68911605247
H8 x V5	IOH9934_TALDO1	3.05146625684	3.53831729473	1.29862530916	1.56930823098
H8 x V6	CONTROL_IgG/ AF647 555	4.02854528461	4.83373548489	1.39348095679	1.61501959099
H8 x V6	IOH11347_HBZ	4.14044347234	3.07020088627	1.40434412627	1.39815685498
H8 x V6	IOH12916_MB	3.09000895935	2.57625099936	1.3023670669	1.33741558911
H8 x V6	IOH13579_C19orf40	3.17714979183	2.63016236843	1.31082677165	1.34404509726
H8 x V6	IOH29295_C19orf33	3.66428934792	3.75686569684	1.3581186864	1.48259637188
H8 x V6	IOH29585_PROZ	3.49432501575	2.94139805911	1.34161840715	1.38231790658
H8 x V6	IOH3435_MAPK13	2.56405002513	3.1439642751	1.25130653452	1.40722757598
H8 x V7	CONTROL_IgG/ AF647 555	4.02854528461	6.15783833343	1.39348095679	2.02015782421
H8 x V7	IOH21078_PIK4CA	2.70307807291	3.45529265595	1.26480349345	1.58944444444
H8 x V7	IOH28242_OR5AN1	3.05742319127	5.81315688623	1.29920361333	1.96522483554
H8 x V7	IOH29295_C19orf33	3.66428934792	4.35341850575	1.3581186864	1.7325816441
H8 x V7	IOH29585_PROZ	3.49432501575	2.87025561476	1.34161840715	1.49620521323
H8 x V8	CONTROL_IgG/ AF647 555	4.02854528461	4.35830587242	1.39348095679	1.93654128704
H8 x V9	CONTROL_IgG/ AF647 555	4.02854528461	3.36732392211	1.39348095679	1.34017737837
H8 x V9	IOH21078_PIK4CA	2.70307807291	3.59902117019	1.26480349345	1.36492808114
H8 x V11	CONTROL_IgG/ AF647 555	4.02854528461	4.09310655622	1.39348095679	1.471673283
H8 x V12	CONTROL_IgG/ AF647 555	4.02854528461	4.98018567143	1.39348095679	4.85898228555
H9 x V1	CONTROL_IgG/ AF647 555	4.99700235659	4.31582575875	3.25925022784	2.16909485782
H9 x V2	CONTROL_IgG 488/594	4.37776875369	3.56637685143	2.98478291551	1.75906825954
H9 x V2	CONTROL_IgG/ AF647 555	4.99700235659	6.3994184111	3.25925022784	2.32991609881
H9 x V3	CONTROL_IgG 488/594	4.37776875369	3.09250141836	2.98478291551	1.87612997472
H9 x V3	CONTROL_IgG/ AF647 555	4.99700235659	7.58477221359	3.25925022784	3.08446393273
H9 x V5	CONTROL_IgG/ AF647 555	4.99700235659	3.29761032857	3.25925022784	1.5339520482
H9 x V6	CONTROL_IgG/ AF647 555	4.99700235659	4.83373548489	3.25925022784	1.61501959099
H9 x V7	CONTROL_IgG 488/594	4.37776875369	3.46263810622	2.98478291551	1.59061511243
H9 x V7	CONTROL_IgG/ AF647 555	4.99700235659	6.15783833343	3.25925022784	2.02015782421
H9 x V8	CONTROL_IgG/ AF647 555	4.99700235659	4.35830587242	3.25925022784	1.93654128704
H9 x V9	CONTROL_IgG/ AF647 555	4.99700235659	3.36732392211	3.25925022784	1.34017737837
H9 x V11	CONTROL_IgG 488/594	4.37776875369	2.87343797134	2.98478291551	1.32795785366
H9 x V11	CONTROL_IgG/ AF647 555	4.99700235659	4.09310655622	3.25925022784	1.471673283
H9 x V12	CONTROL_IgG 488/594	4.37776875369	3.99095267016	2.98478291551	4.11123937157
H9 x V12	CONTROL_IgG/ AF647 555	4.99700235659	4.98018567143	3.25925022784	4.85898228555
H10 x V1	CONTROL_IgG/ AF647 555	6.65169196228	4.31582575875	2.26779511145	2.16909485782
H10 x V2	CONTROL_IgG/ AF647 555	6.65169196228	6.3994184111	2.26779511145	2.32991609881
H10 x V3	CONTROL_IgG/ AF647 555	6.65169196228	7.58477221359	2.26779511145	3.08446393273
H10 x V5	CONTROL_IgG/ AF647 555	6.65169196228	3.29761032857	2.26779511145	1.5339520482
H10 x V5	IOH21078_PIK4CA	3.24944341433	3.41608452614	1.64859434075	1.55135410121
H10 x V5	IOH6655_GLUD2	3.53450293811	4.35397597075	1.70047446483	1.68911605247
H10 x V6	CONTROL_IgG/ AF647 555	6.65169196228	4.83373548489	2.26779511145	1.61501959099
H10 x V6	IOH29585_PROZ	2.65811768545	2.94139805911	1.54097452935	1.38231790658
H10 x V7	CONTROL_IgG/ AF647 555	6.65169196228	6.15783833343	2.26779511145	2.02015782421
H10 x V7	IOH21078_PIK4CA	3.24944341433	3.45529265595	1.64859434075	1.58944444444
H10 x V7	IOH29585_PROZ	2.65811768545	2.87025561476	1.54097452935	1.49620521323
H10 x V8	CONTROL_IgG/ AF647 555	6.65169196228	4.35830587242	2.26779511145	1.93654128704
H10 x V9	CONTROL_IgG/ AF647 555	6.65169196228	3.36732392211	2.26779511145	1.34017737837
H10 x V9	IOH21078_PIK4CA	3.24944341433	3.59902117019	1.64859434075	1.36492808114
H10 x V11	CONTROL_IgG/ AF647 555	6.65169196228	4.09310655622	2.26779511145	1.471673283
H10 x V12	CONTROL_IgG/ AF647 555	6.65169196228	4.98018567143	2.26779511145	4.85898228555
H11 x V1	CONTROL_IgG/ AF647 555	2.76601300032	4.31582575875	1.74583380899	2.16909485782
H11 x V1	IOH10875_LOC441046	2.74300402326	6.40139927931	1.74027488124	2.71116793485
H11 x V2	CONTROL_IgG/ AF647 555	2.76601300032	6.3994184111	1.74583380899	2.32991609881
H11 x V2	IOH28492_OR51F2	2.77607454358	4.87080408103	1.74826465987	2.02190572585
H11 x V2	IOH28867_SHQ1	3.94243381612	5.96625243893	2.0300549765	2.24263468975
H11 x V3	CONTROL_IgG/ AF647 555	2.76601300032	7.58477221359	1.74583380899	3.08446393273
H11 x V5	CONTROL_IgG/ AF647 555	2.76601300032	3.29761032857	1.74583380899	1.5339520482
H11 x V5	IOH10764_ZNF99	3.55225914793	3.37544425635	1.93578947368	1.5453846653
H11 x V5	IOH11161_LRRC20	3.40386208773	2.68586959025	1.89993700904	1.4440966622
H11 x V5	IOH11347_HBZ	3.5356124581	2.86917637995	1.93176766316	1.47102163436
H11 x V5	IOH11684_SLC20A2	2.97581000307	2.94633057802	1.79652039007	1.48235440953
H11 x V5	IOH11988_DEPDC6	3.40346313305	2.5957749541	1.8998406223	1.43086313401
H11 x V5	IOH12916_MB	2.66071103593	2.99289673751	1.72039304251	1.48919426826
H11 x V5	IOH21078_PIK4CA	6.67712093086	3.41608452614	2.69075049809	1.55135410121
H11 x V5	IOH29558_STYK1	2.55870336266	3.40540287933	1.69574817088	1.54978513017
H11 x V5	IOH6665_HDAC7A	5.05394685855	3.89412658234	2.29859454191	1.62157118958
H11 x V6	CONTROL_IgG/ AF647 555	2.76601300032	4.83373548489	1.74583380899	1.61501959099
H11 x V6	IOH11347_HBZ	3.5356124581	3.07020088627	1.93176766316	1.39815685498
H11 x V6	IOH12916_MB	2.66071103593	2.57625099936	1.72039304251	1.33741558911
H11 x V6	IOH21145_CHEK2	2.60729787007	2.56815037047	1.70748851706	1.3364194507
H11 x V6	IOH28721_ACTR2	3.08644009991	3.48361533931	1.82324842384	1.44899463807
H11 x V6	IOH29295_C19orf33	3.5849539344	3.75686569684	1.94368847569	1.48259637188
H11 x V6	IOH29585_PROZ	4.91127946832	2.94139805911	2.2641263553	1.38231790658
H11 x V6	IOH29594_SENP3	3.90981368479	2.76801998724	2.02217401104	1.36099751794
H11 x V6	IOH3435_MAPK13	2.69714234551	3.1439642751	1.72919478183	1.40722757598
H11 x V6	IOH6665_HDAC7A	5.05394685855	2.79436170313	2.29859454191	1.36423677198
H11 x V7	CONTROL_IgG/ AF647 555	2.76601300032	6.15783833343	1.74583380899	2.02015782421
H11 x V7	IOH21078_PIK4CA	6.67712093086	3.45529265595	2.69075049809	1.58944444444
H11 x V7	IOH29295_C19orf33	3.5849539344	4.35341850575	1.94368847569	1.7325816441
H11 x V7	IOH29585_PROZ	4.91127946832	2.87025561476	2.2641263553	1.49620521323
H11 x V7	IOH6665_HDAC7A	5.05394685855	2.54025209134	2.29859454191	1.44361149239
H11 x V8	CONTROL_IgG/ AF647 555	2.76601300032	4.35830587242	1.74583380899	1.93654128704
H11 x V8	IOH11400_PMFBP1	2.53829810865	2.69564064985	1.69081829797	1.5932028138
H11 x V9	CONTROL_IgG/ AF647 555	2.76601300032	3.36732392211	1.74583380899	1.34017737837
H11 x V9	IOH21078_PIK4CA	6.67712093086	3.59902117019	2.69075049809	1.36492808114
H11 x V11	CONTROL_IgG/ AF647 555	2.76601300032	4.09310655622	1.74583380899	1.471673283
H11 x V12	CONTROL_IgG/ AF647 555	2.76601300032	4.98018567143	1.74583380899	4.85898228555
H12 x V1	CONTROL_IgG/ AF647 555	4.26372399171	4.31582575875	2.29392036519	2.16909485782
H12 x V2	CONTROL_IgG 488/594	2.50568029392	3.56637685143	1.7930238551	1.75906825954
H12 x V2	CONTROL_IgG/ AF647 555	4.26372399171	6.3994184111	2.29392036519	2.32991609881
H12 x V3	CONTROL_IgG 488/594	2.50568029392	3.09250141836	1.7930238551	1.87612997472
H12 x V3	CONTROL_IgG/ AF647 555	4.26372399171	7.58477221359	2.29392036519	3.08446393273
H12 x V5	CONTROL_IgG/ AF647 555	4.26372399171	3.29761032857	2.29392036519	1.5339520482
H12 x V5	IOH11347_HBZ	2.57552481375	2.86917637995	1.81292374512	1.47102163436
