IDName	ID	Name	zscore	ratio	zscores	ratios
IOH12544_TMEM8	IOH12544	TMEM8	2.22083007779	1.19211587278	3.34773638749;1.09392376809	1.27071823204;1.11351351351
IOH11633_ND	IOH11633	ND	2.09172344796	1.18311061155	2.93655673953;1.24689015638	1.24203821656;1.12418300654
IOH5484_RASSF5	IOH5484	RASSF5	2.46000857038	1.20879870936	2.64237665267;2.2776404881	1.22151898734;1.19607843137
IOH10407_PPIL4	IOH10407	PPIL4	2.06630186644	1.18133744171	2.57909797148;1.55350576139	1.21710526316;1.14556962025
IOH57717_PTGER3	IOH57717	PTGER3	2.19049523279	1.19	2.52502056772;1.85596989785	1.21333333333;1.16666666667
IOH46822_RECK	IOH46822	RECK	2.59784205589	1.21841267376	2.91459437549;2.28108973629	1.24050632911;1.1963190184
IOH7427_COX11	IOH7427	COX11	2.16472121019	1.18820224719	2.52716840293;1.80227401745	1.21348314607;1.16292134831
IOH6706_WDR45L	IOH6706	WDR45L	1.14377518713	1.11699067849	2.04390547928;2.67992392478;-1.29250384268	1.1797752809;1.22413793103;0.947058823529
IOH28340_OR52D1	IOH28340	OR52D1	1.82859408773	1.16475718826	0.848363467337;2.80882470813	1.09638554217;1.23312883436
IOH3899_MFGE8	IOH3899	MFGE8	8.76931450017	1.64887640449	8.56795494865;8.9706740517	1.63483146067;1.66292134831
IOH10233_TRMT1	IOH10233	TRMT1	2.16546272473	1.18825396825	2.65245879055;1.67846665891	1.22222222222;1.15428571429
IOH40179_SLC25A26	IOH40179	SLC25A26	1.79494013577	1.16240980588	0.955023445462;2.63485682607	1.10382513661;1.22099447514
IOH40890_ODF2	IOH40890	ODF2	1.85380474139	1.16651564577	1.15792345257;2.5496860302	1.11797752809;1.21505376344
IOH13408_DUSP7	IOH13408	DUSP7	2.23249893274	1.19292978208	1.59654208709;2.8684557784	1.14857142857;1.23728813559
IOH27264_TOMM40	IOH27264	TOMM40	2.11042467008	1.18441503248	1.28830654339;2.93254279677	1.1270718232;1.24175824176
IOH40236_KLK4	IOH40236	KLK4	2.00630536943	1.17715265174	2.56861785448;1.44399288439	1.21637426901;1.13793103448
IOH10449_TSPAN6	IOH10449	TSPAN6	2.18994168838	1.18996138996	1.63639728419;2.74348609257	1.15135135135;1.22857142857
IOH57853_NSUN5	IOH57853	NSUN5	2.67191979995	1.22357963875	3.09190093824;2.25193866165	1.25287356322;1.19428571429
IOH6566_ZKSCAN3	IOH6566	ZKSCAN3	2.05678771937	1.18067382451	1.21016809297;2.90340734578	1.12162162162;1.2397260274
IOH9727_SC4MOL	IOH9727	SC4MOL	1.13462613578	1.11635252693	2.69733140422;-0.428079132667	1.22535211268;1.00735294118
IOH55143_C1orf176	IOH55143	C1orf176	2.66387189358	1.22301829268	1.7394105477;3.58833323946	1.15853658537;1.2875
IOH4570_ZBTB37	IOH4570	ZBTB37	2.64872797752	1.22196199588	2.35034231401;2.94711364102	1.20114942529;1.24277456647
IOH12780_STEAP4	IOH12780	STEAP4	0.664843173979	1.0835848968	2.94945464884;0.688389589245;-0.119138396747;-0.859333145423	1.24293785311;1.08522727273;1.0289017341;0.977272727273
IOH26026_ZBTB25	IOH26026	ZBTB25	2.57412913754	1.21675868415	2.7612957821;2.38696249298	1.2298136646;1.2037037037
IOH26974_ZNF26	IOH26974	ZNF26	1.54109537108	1.14470398844	2.56861785448;0.513572887694	1.21637426901;1.07303370787
IOH28391_OR1A1	IOH28391	OR1A1	2.78137028763	1.23121387283	2.36701190415;3.19572867111	1.20231213873;1.26011560694
IOH4605_PCTK1	IOH4605	PCTK1	2.63501212177	1.2210053071	2.82014066269;2.44988358085	1.23391812865;1.20809248555
IOH27722_CDH3	IOH27722	CDH3	2.44428319219	1.20770185524	3.17151896781;1.71704741657	1.25842696629;1.15697674419
IOH27104_RP11-444E17.2	IOH27104	RP11-444E17.2	1.78823638014	1.16194221509	0.996835811352;2.57963694893	1.10674157303;1.21714285714
IOH22602_TNFAIP6	IOH22602	TNFAIP6	2.00970552425	1.17738981449	1.00809462499;3.01131642352	1.10752688172;1.24725274725
IOH22634_CLEC14A	IOH22634	CLEC14A	2.25720304549	1.19465290807	2.77499554327;1.7394105477	1.23076923077;1.15853658537
IOH9778_LOXL4	IOH9778	LOXL4	2.5866762011	1.21763384901	2.14385744943;3.02949495277	1.18674698795;1.24852071006
IOH43342_CCDC84	IOH43342	CCDC84	18.2026747652	2.30685867529	1.22561979259;35.1797297377	1.1226993865;3.49101796407
IOH45813_CS	IOH45813	CS	2.15242576368	1.18734463277	1.76039123073;2.54446029662	1.16;1.21468926554
IOH45783_CDR2	IOH45783	CDR2	1.93376648737	1.17209302326	0.90018322662;2.96734974813	1.1;1.24418604651
IOH53841_LOC201181	IOH53841	LOC201181	1.88294381615	1.16854811289	2.78137028763;0.98451734467	1.23121387283;1.10588235294
IOH45415_MAPK15	IOH45415	MAPK15	3.27276889537	1.26548920662	5.76070812789;0.784829662851	1.43902439024;1.09195402299
IOH12615_C11orf63	IOH12615	C11orf63	1.20771910816	1.12145080353	-0.202010073444;2.61744828977	1.02312138728;1.21978021978
IOH62092_SLC35F1	IOH62092	SLC35F1	1.80834963033	1.16334512579	3.34375103704;0.272948223623	1.27044025157;1.05625
IOH53733_BCAP31	IOH53733	BCAP31	5.49639266035	1.42058823529	4.35788206667;6.63490325402	1.34117647059;1.5
IOH59047_STX10	IOH59047	STX10	36.3262391984	3.57098765432	34.4235157325;38.2289626642	3.43827160494;3.7037037037
IOH60863_PRMT8	IOH60863	PRMT8	2.12917216997	1.18572268131	2.93424908471;1.32409525522	1.24187725632;1.12956810631
IOH21813_CESK1	IOH21813	CESK1	0.393176655846	1.06463600187	-1.74165408937;2.52800740106	0.915730337079;1.21354166667
IOH26530_RALGPS2	IOH26530	RALGPS2	1.63116652564	1.15098650295	4.32964685534;-1.06731380406	1.33920704846;0.962765957447
IOH54732_DCTD	IOH54732	DCTD	1.88832419527	1.16892339741	2.8684557784;0.908192612133	1.23728813559;1.10055865922
IOH4648_HEMK1	IOH4648	HEMK1	1.95984635174	1.1739121087	2.57909797148;1.34059473199	1.21710526316;1.13071895425
IOH14102_SDHC	IOH14102	SDHC	1.96822672166	1.1744966443	1.19846564415;2.73798779916	1.12080536913;1.22818791946
IOH45845_UBE2G1	IOH45845	UBE2G1	2.25938635	1.19480519481	3.00415518473;1.51461751527	1.24675324675;1.14285714286
IOH12874_FAM45A	IOH12874	FAM45A	2.22025134303	1.1920755057	1.36541713613;3.07508554994	1.13245033113;1.25170068027
IOH46671_XPR1	IOH46671	XPR1	2.39344474025	1.20415584416	2.62059923484;2.16629024566	1.22;1.18831168831
IOH11597_KLRD1	IOH11597	KLRD1	2.00034006028	1.17673656802	1.30652034086;2.69415977969	1.12834224599;1.22513089005
IOH4814_FAM64A	IOH4814	FAM64A	2.17467634792	1.18889662374	2.69016240677;1.65919028907	1.22485207101;1.15294117647
IOH13582_MGC27348	IOH13582	MGC27348	2.2086710151	1.19126777121	1.78442897935;2.63291305085	1.16167664671;1.22085889571
IOH6885_HVCN1	IOH6885	HVCN1	1.07396262139	1.11212121212	2.68142202301;-0.53349678023	1.22424242424;1.0
IOH39393_CYP2A7	IOH39393	CYP2A7	2.60267823475	1.21875	2.06504823219;3.14030823732	1.18125;1.25625
IOH6123_ACSL5	IOH6123	ACSL5	2.21664411341	1.19182389937	2.53223405203;1.9010541748	1.21383647799;1.16981132075
IOH12837_SPATA6	IOH12837	SPATA6	2.1465768295	1.18693666627	2.66260514587;1.63054851313	1.22292993631;1.15094339623
IOH57484_RNF121	IOH57484	RNF121	2.47909315624	1.21012987013	2.91105908038;2.0471272321	1.24025974026;1.18
IOH55414_EARS2	IOH55414	EARS2	2.31512231835	1.19869281046	3.2896499047;1.34059473199	1.26666666667;1.13071895425
IOH3701_KCTD14	IOH3701	KCTD14	1.75129082377	1.15936524141	2.55564798591;0.946933661626	1.21546961326;1.10326086957
nd_nd	nd	nd	-0.216527501666	1.02210878837	-0.645503030765;-0.640487825517;-0.53349678023;-0.447647678023;0.324994241836;-0.192144397647;0.386511780316;0.407808274773;-0.62254522786;0.0976830969997;-0.456000563643;4.12772885781;0.605851569585;0.786997962922;-0.613145669499;-1.3255851818;-1.836842241;-0.979200409303;-1.36352204735;-1.95967060903;0.41178674077;-0.29717589998	0.9921875;0.992537313433;1.0;1.00598802395;1.05988023952;1.02380952381;1.06417112299;1.06565656566;0.993788819876;1.04402515723;1.00540540541;1.32512315271;1.07947019868;1.09210526316;0.994444444444;0.944751381215;0.909090909091;0.968911917098;0.942105263158;0.900523560209;1.06593406593;1.01648351648
IOH11050_C5orf21	IOH11050	C5orf21	1.98809334947	1.17588235294	1.06885146272;2.90733523621	1.11176470588;1.24
IOH5033_ND	IOH5033	ND	1.80965776174	1.1634363687	0.983624920141;2.63569060333	1.10582010582;1.22105263158
IOH5275_HIST1H1C	IOH5275	HIST1H1C	1.39856631433	1.13476250525	0.275245787737;2.52188684093	1.05641025641;1.2131147541
IOH21422_DCI	IOH21422	DCI	2.25335753601	1.19438468158	1.71202612207;2.79468894996	1.15662650602;1.23214285714
IOH3506_ND	IOH3506	ND	2.37179879565	1.20264602715	1.19382852923;3.54976906206	1.12048192771;1.28481012658
IOH5703_TCEB3	IOH5703	TCEB3	1.90472773173	1.17006755345	1.19382852923;2.61562693424	1.12048192771;1.21965317919
IOH51939_METT11D1	IOH51939	METT11D1	2.14494536621	1.18682287077	2.69415977969;1.59573095272	1.22513089005;1.14851485149
IOH57912_TBL2	IOH57912	TBL2	2.18323536991	1.18949362041	2.8877850543;1.47868568552	1.23863636364;1.14035087719
IOH5544_C19orf12	IOH5544	C19orf12	1.26235428573	1.1252616384	-0.19616030803;2.72086887949	1.02352941176;1.22699386503
IOH11880_ZNF165	IOH11880	ZNF165	1.39310454414	1.13438154366	0.153296037423;2.63291305085	1.04790419162;1.22085889571
IOH43271_	IOH43271		1.91574997357	1.17083636112	2.52049613377;1.31100381338	1.21301775148;1.12865497076
IOH29237_PODNL1	IOH29237	PODNL1	2.50969191356	1.21226415094	3.16341392926;1.85596989785	1.25786163522;1.16666666667
IOH4148_VPS35	IOH4148	VPS35	1.84227242931	1.16571126041	2.55707089921;1.12747395941	1.21556886228;1.11585365854
IOH40259_CBLN4	IOH40259	CBLN4	2.28759534491	1.19677278833	3.07269219406;1.50249849577	1.25153374233;1.14201183432
IOH53760_TRGV3	IOH53760	TRGV3	2.2091823862	1.19130343963	2.63393579304;1.78442897935	1.22093023256;1.16167664671
SNAPC3_	SNAPC3		1.56759546788	1.14655238534	2.53223405203;0.602956883737	1.21383647799;1.07926829268
IOH3378_BSG	IOH3378	BSG	2.63084264226	1.22071448352	3.30182553109;1.95985975342	1.26751592357;1.17391304348
IOH29373_ND	IOH29373	ND	2.53867466302	1.21428571429	2.7612957821;2.31605354394	1.2298136646;1.19875776398
IOH57590_ANXA13	IOH57590	ANXA13	1.5447662853	1.1449600368	0.539846540407;2.5496860302	1.07486631016;1.21505376344
IOH57625_STAC3	IOH57625	STAC3	3.49630648227	1.28108108108	4.19377243155;2.79884053299	1.32972972973;1.23243243243
IOH23002_PPIL5	IOH23002	PPIL5	2.12009363673	1.18508944843	2.81461820583;1.42556906764	1.23353293413;1.13664596273
IOH14346_MAP2K1IP1	IOH14346	MAP2K1IP1	1.71822438188	1.15705883819	1.02884681698;1.23532920225;2.93655673953;1.67216476877	1.10897435897;1.12337662338;1.24203821656;1.15384615385
IOH29380_PODXL2	IOH29380	PODXL2	1.96935617878	1.17457542458	2.81796297604;1.12074938152	1.23376623377;1.11538461538
IOH29499_ZNF790	IOH29499	ZNF790	1.69484202496	1.15542790543	0.385528865187;3.00415518473	1.0641025641;1.24675324675
IOH27709_CRY2	IOH27709	CRY2	2.05178263396	1.18032471694	2.69465687758;1.40890839034	1.22516556291;1.13548387097
IOH26697_TAX1BP1	IOH26697	TAX1BP1	2.31719112067	1.1988371106	1.70080972395;2.93357251738	1.15584415584;1.24183006536
IOH13701_CLTA	IOH13701	CLTA	1.7480530173	1.15913940256	0.822687010034;2.67341902457	1.09459459459;1.22368421053
IOH44125_ND	IOH44125	ND	1.99738907332	1.17653073499	3.1209816686;0.873796478028	1.25490196078;1.0981595092
IOH45583_IL24	IOH45583	IL24	1.60278137567	1.14900662252	2.59971118176;0.605851569585	1.21854304636;1.07947019868
IOH22431_EPC1	IOH22431	EPC1	2.53867466302	1.21428571429	2.78249779344;2.2948515326	1.23129251701;1.19727891156
IOH2940_ZNF416	IOH2940	ZNF416	2.64192545246	1.22148751587	3.07648884853;2.2073620564	1.25179856115;1.19117647059
IOH7373_PLGLB1	IOH7373	PLGLB1	1.47349150496	1.13998858013	2.89925816575;0.0477248441688	1.23943661972;1.04054054054
IOH57619_ALDOB	IOH57619	ALDOB	1.84045388046	1.16558441558	2.63177076736;1.04913699357	1.22077922078;1.11038961039
IOH57633_RTCD1	IOH57633	RTCD1	2.60536004594	1.21893705786	2.25688712572;2.95383296616	1.19463087248;1.24324324324
IOH58618_LOC113386	IOH58618	LOC113386	2.52502056772	1.21333333333	2.0471272321;3.00291390333	1.18;1.24666666667
IOH63158_CKAP4	IOH63158	CKAP4	2.14747147116	1.18699906803	3.14757350763;1.1473694347	1.25675675676;1.11724137931
IOH63162_NDUFB5	IOH63162	NDUFB5	2.10323236973	1.18391336542	1.5976491759;2.60881556355	1.14864864865;1.21917808219
IOH63077_IGHV4-31	IOH63077	IGHV4-31	2.20194929089	1.1907989271	1.52864569538;2.87525288641	1.14383561644;1.23776223776
IOH62057_MGC26718	IOH62057	MGC26718	2.65666089022	1.22251532108	2.54626027152;2.76706150892	1.21481481481;1.23021582734
IOH61497_CDC16	IOH61497	CDC16	2.27895165287	1.19616988586	2.03428830667;2.52361499908	1.17910447761;1.21323529412
IOH40918_C9orf86	IOH40918	C9orf86	1.78569146615	1.16176470588	2.73445029421;0.836932638083	1.22794117647;1.09558823529
IOH26656_APBA2BP	IOH26656	APBA2BP	2.55881564713	1.21569055944	1.17087805309;3.94675324118	1.11888111888;1.3125
BC047750_	BC047750		2.26268763029	1.19503546099	1.8051301813;2.72024507929	1.16312056738;1.22695035461
IOH13372_C6orf115	IOH13372	C6orf115	2.17863510621	1.18917274939	2.50130031456;1.85596989785	1.21167883212;1.16666666667
IOH40582_RAD51L3	IOH40582	RAD51L3	1.94586608446	1.17293697707	2.21716834919;2.21367449038;0.760049090612;2.59257240764	1.19186046512;1.19161676647;1.09022556391;1.21804511278
IOH13941_BCAP31	IOH13941	BCAP31	4.63345081204	1.3603975481	5.30424216982;3.96265945427	1.40718562874;1.31360946746
IOH4867_HIST2H2AA3	IOH4867	HIST2H2AA3	1.4267546239	1.13672865596	2.53867466302;0.31483458477	1.21428571429;1.05917159763
IOH6773_UPK1A	IOH6773	UPK1A	2.23086979542	1.19281614882	1.6653989358;2.79634065504	1.15337423313;1.23225806452
IOH12902_HTN1	IOH12902	HTN1	2.19850571609	1.19055873579	2.57128794798;1.82572348421	1.21656050955;1.16455696203
IOH27903_FTSJ3	IOH27903	FTSJ3	2.9921227635	1.24591397849	3.00291390333;2.98133162366	1.24666666667;1.24516129032
IOH9866_CXorf40B	IOH9866	CXorf40B	1.93827225097	1.17240730284	2.67224733447;1.20429716747	1.22360248447;1.12121212121
IOH22392_TMEM151	IOH22392	TMEM151	2.43658116079	1.20716463415	2.00166908554;2.87149323604	1.17682926829;1.2375
IOH13664_LTF	IOH13664	LTF	1.97252454917	1.17479642022	1.09980955669;2.84523954165	1.11392405063;1.23566878981
IOH26311_SENP2	IOH26311	SENP2	1.49529568229	1.14150943396	2.71257115981;0.27802020478	1.22641509434;1.05660377358
IOH39630_CDC42	IOH39630	CDC42	2.53645863212	1.21413114486	2.20601915643;2.86689810781	1.19108280255;1.23717948718
IOH40077_IRGC	IOH40077	IRGC	1.18536063968	1.11989128757	-0.53349678023;-1.05801385591;3.19034739341;3.14260580144	1.0;0.963414634146;1.25974025974;1.25641025641
IOH40085_ND	IOH40085	ND	2.91083201672	1.24024390244	3.48780079996;2.33386323347	1.28048780488;1.2
IOH40647_RP9	IOH40647	RP9	2.17273256494	1.18876104376	2.93655673953;1.40890839034	1.24203821656;1.13548387097
IOH29134_EMB	IOH29134	EMB	2.75027800962	1.22904516867	2.24697353609;3.25358248315	1.19393939394;1.2641509434
IOH28964_TMCC2	IOH28964	TMCC2	2.31487409431	1.19867549669	1.65025422358;2.97949396503	1.15231788079;1.24503311258
IOH25772_NUDT18	IOH25772	NUDT18	2.25635314359	1.19459362692	1.73020849374;2.78249779344	1.15789473684;1.23129251701
IOH50188_ND	IOH50188	ND	2.37437339702	1.20282560706	3.09849257046;1.65025422358	1.25333333333;1.15231788079
IOH50189_ND	IOH50189	ND	1.97201463719	1.17476085357	2.88454826921;1.05948100516	1.23841059603;1.11111111111
IOH3335_GPM6B	IOH3335	GPM6B	2.52846412254	1.21357352325	2.61134968641;2.44557855868	1.21935483871;1.20779220779
IOH53782_LOC91461	IOH53782	LOC91461	2.74527936073	1.22869651005	1.9010541748;3.58950454666	1.16981132075;1.28758169935
IOH46237_CD58	IOH46237	CD58	2.55622992841	1.21551020408	2.52502056772;2.5874392891	1.21333333333;1.21768707483
IOH52112_TXNRD1	IOH52112	TXNRD1	2.05637678053	1.18064516129	1.59389935897;2.5188542021	1.14838709677;1.21290322581
IOH61416_PTENP1	IOH61416	PTENP1	2.01610315425	1.17783605284	2.574480857;1.45772545151	1.21678321678;1.13888888889
Ehf_	Ehf		2.64489988785	1.22169498444	3.17963129507;2.11016848063	1.25899280576;1.18439716312
IOH59842_C9orf9	IOH59842	C9orf9	1.80419569594	1.16305538649	1.08953718979;2.5188542021	1.11320754717;1.21290322581
IOH63016_MAD2L1	IOH63016	MAD2L1	1.8820334222	1.16848461239	0.30984440027;3.45422244412	1.05882352941;1.27814569536
IOH10970_FAM128B	IOH10970	FAM128B	2.71563264273	1.22662863452	1.35292428142;4.07834100404	1.13157894737;1.32167832168
IOH10995_ZCCHC4	IOH10995	ZCCHC4	1.86507372556	1.16730166385	0.554122535312;3.17602491582	1.07586206897;1.25874125874
IOH10729_LOC130940	IOH10729	LOC130940	2.71549028565	1.22661870504	2.76706150892;2.66391906239	1.23021582734;1.22302158273
IOH12906_ND	IOH12906	ND	2.87211400076	1.23754329869	2.56077661585;3.18345138568	1.21582733813;1.25925925926
IOH9987_SMAD5	IOH9987	SMAD5	1.36704916804	1.13256416628	-0.0680162585253;0.140044162586;2.50130031456;2.89486845354	1.03246753247;1.04697986577;1.21167883212;1.23913043478
IOH5956_BCL2L13	IOH5956	BCL2L13	2.84923839933	1.23594771242	2.01526767639;3.68320912227	1.17777777778;1.29411764706
IOH5972_ND	IOH5972	ND	2.32550643671	1.19941710865	2.60594849024;2.04506438317	1.21897810219;1.17985611511
IOH13556_IDH3A	IOH13556	IDH3A	1.90321262139	1.16996187364	1.04776793321;2.75865730957	1.11029411765;1.22962962963
IOH7202_ND	IOH7202	ND	2.6755039024	1.22382963195	2.6870887424;2.66391906239	1.22463768116;1.22302158273
IOH7209_ND	IOH7209	ND	2.14820682971	1.18705035971	1.32306725742;2.97334640199	1.12949640288;1.24460431655
IOH4485_ND	IOH4485	ND	2.24778306743	1.19399585921	2.74348609257;1.75208004228	1.22857142857;1.15942028986
IOH5405_DMAP1	IOH5405	DMAP1	2.38506609086	1.20357142857	1.8218346596;2.94829752212	1.16428571429;1.24285714286
IOH3702_WDR18	IOH3702	WDR18	3.07519155999	1.25170807453	3.25551466645;2.89486845354	1.26428571429;1.23913043478
IOH23046_C1orf64	IOH23046	C1orf64	2.44269382786	1.20759099617	2.53161219993;2.35377545579	1.21379310345;1.20138888889
IOH13636_LHFP	IOH13636	LHFP	1.83455342315	1.16517285531	2.89925816575;0.769848680543	1.23943661972;1.09090909091
IOH10533_FAM128A	IOH10533	FAM128A	2.79926262567	1.23246187364	2.75865730957;2.83986794177	1.22962962963;1.23529411765
IOH10335_TMEM125	IOH10335	TMEM125	2.08060753641	1.18233527036	1.58673421582;2.574480857	1.14788732394;1.21678321678
IOH5170_OPRS1	IOH5170	OPRS1	1.4492129658	1.13829513815	2.63048668316;0.267939248444	1.22068965517;1.05590062112
IOH21867_PSIP1	IOH21867	PSIP1	0.0384840054484	1.03989598676	-2.12647456562;-0.75868212162;2.66391906239;0.375173646647	0.888888888889;0.984293193717;1.22302158273;1.06338028169
IOH14494_HGF	IOH14494	HGF	2.45499438422	1.20844896701	1.70345074819;3.20653802025	1.15602836879;1.26086956522
IOH3124_CARD14	IOH3124	CARD14	1.61266554005	1.14969604863	2.53867466302;0.686656417089	1.21428571429;1.08510638298
IOH6499_CLN8	IOH6499	CLN8	3.03687616979	1.24903555417	3.2827737416;2.79097859797	1.26618705036;1.23188405797
IOH21873_CYP20A1	IOH21873	CYP20A1	2.54852771498	1.21497297029	2.92360394551;2.17345148445	1.24113475177;1.18881118881
IOH14291_TSNAX	IOH14291	TSNAX	1.07651658993	1.11229935289	2.51061830281;-0.357585122948	1.21232876712;1.01226993865
IOH10093_RPL3	IOH10093	RPL3	2.41615296799	1.20573975602	2.27152932013;2.56077661585	1.19565217391;1.21582733813
IOH4003_PRSS8	IOH4003	PRSS8	1.68802352385	1.15495231108	0.554122535312;2.8219245124	1.07586206897;1.23404255319
IOH14502_MSLN	IOH14502	MSLN	2.42827984993	1.20658561297	3.15310895167;1.70345074819	1.25714285714;1.15602836879
IOH23156_GDF3	IOH23156	GDF3	2.97298576407	1.24457916185	2.87020395546;3.07576757268	1.23741007194;1.25174825175
