Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
NOL6	IOH22988	213.0	173.0	0	357	IOH22988_NOL6	1.23121387283	2.79579935767	1.01431240042
KLHL32	IOH61798	226.0	184.0	0	675	IOH61798_KLHL32	1.22826086957	2.75733551346	1.12016699544
CORO6	IOH40669	210.0	172.0	0	710	IOH40669_CORO6	1.22093023256	2.66185154195	2.42766173342
ND	IOH10136	200.0	164.0	0	860	IOH10136_ND	1.21951219512	2.64338113535	2.23382768589
MARVELD3	IOH14001	174.0	138.0	0	1943	IOH14001_MARVELD3	1.26086956522	3.18207455912	1.43415096769
DTWD1	IOH21971	223.0	183.0	0	2750	IOH21971_DTWD1	1.21857923497	2.63122902085	2.13299232611
LAX1	IOH53792	224.0	183.0	0	2967	IOH53792_LAX1	1.22404371585	2.70240569152	2.2620248939
USP53	IOH14830	176.0	138.0	0	3265	IOH14830_USP53	1.27536231884	3.3708474683	1.34490963938
CNIH3	IOH11036	177.0	146.0	0	3399	IOH11036_CNIH3	1.21232876712	2.54981460987	2.161978944
INHBE	IOH5162	191.0	157.0	0	4106	IOH5162_INHBE	1.21656050955	2.60493445461	1.50895285916
BTN3A2	IOH5425	202.0	163.0	0	4107	IOH5425_BTN3A2	1.23926380368	2.90065236935	2.2954802621
ND	IOH11633	152.0	125.0	0	4163	IOH11633_ND	1.216	2.59763363229	1.64177474614
OR10K1	IOH28473	155.0	128.0	0	4261	IOH28473_OR10K1	1.2109375	2.53169289545	1.25441147599
PARP3	IOH14850	208.0	170.0	0	4328	IOH14850_PARP3	1.22352941176	2.69570671075	1.28222448713
CASC4	IOH57875	237.0	193.0	0	4572	IOH57875_CASC4	1.22797927461	2.75366764605	2.20443591185
TIMP1	IOH3196	185.0	152.0	0	4911	IOH3196_TIMP1	1.21710526316	2.61203005047	1.5525268904
CISH	IOH22653	190.0	151.0	0	4919	IOH22653_CISH	1.2582781457	3.14832046278	1.99539538935
MSMB	IOH7298	172.0	142.0	0	4959	IOH7298_MSMB	1.21126760563	2.5359926305	2.69779006822
MSMB	IOH7298	178.0	144.0	0	4960	IOH7298_MSMB	1.23611111111	2.85958750593	2.69779006822
C2orf49	IOH3089	201.0	165.0	0	4981	IOH3089_C2orf49	1.21818181818	2.62605253571	1.24341716103
C1orf83	IOH27410	192.0	152.0	0	5114	IOH27410_C1orf83	1.26315789474	3.21188080794	1.12214752516
MID2	IOH11264	182.0	149.0	0	5636	IOH11264_MID2	1.22147651007	2.66896698718	1.9696203706
ND	IOH7543	227.0	182.0	0	5655	IOH7543_ND	1.24725274725	3.00471100159	2.20411931898
RPIA	IOH11053	217.0	173.0	0	5760	IOH11053_RPIA	1.25433526012	3.09696307405	2.08802059438
TAC3	IOH23098	152.0	124.0	0	5773	IOH23098_TAC3	1.22580645161	2.72536590787	1.5624490288
CCDC94	IOH4160	216.0	174.0	0	5920	IOH4160_CCDC94	1.24137931034	2.92820754332	1.27215047674
