Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
ATF7	IOH26887	161.0	107.0	0	245	IOH26887_ATF7	1.5046728972	5.70655927389	5.90377363712
ATF7	IOH26887	163.0	106.0	0	246	IOH26887_ATF7	1.53773584906	6.10098800034	5.90377363712
CLSTN3	IOH27403	140.0	108.0	0	2788	IOH27403_CLSTN3	1.2962962963	3.22070387715	1.45335153528
GAN	IOH25725	178.0	135.0	0	2951	IOH25725_GAN	1.31851851852	3.48580672843	1.70172459498
MGC29506	IOH13914	135.0	105.0	0	4855	IOH13914_MGC29506	1.28571428571	3.09446442416	1.90641764902
LGALS2	IOH22699	150.0	115.0	0	4947	IOH22699_LGALS2	1.30434782609	3.31675563486	2.35349372183
C2orf49	IOH3089	149.0	115.0	0	4982	IOH3089_C2orf49	1.29565217391	3.21301973654	2.04599088036
MRPL43	IOH25749	137.0	110.0	0	5021	IOH25749_MRPL43	1.24545454545	2.6141806871	1.40499652803
	IOH28334	144.0	113.0	0	5025	IOH28334_	1.27433628319	2.95872908311	2.07468304055
MRAS	IOH28834	141.0	111.0	0	5077	IOH28834_MRAS	1.27027027027	2.91022306034	2.32839720799
IZUMO1	IOH27360	134.0	105.0	0	5141	IOH27360_IZUMO1	1.27619047619	2.98084891647	1.70622493956
ND	IOH5606	141.0	103.0	0	5173	IOH5606_ND	1.36893203883	4.08722128749	2.20332603623
LFNG	IOH11293	159.0	111.0	0	5639	IOH11293_LFNG	1.43243243243	4.84475738049	1.99218069212
TMEM174	IOH13241	155.0	120.0	0	5643	IOH13241_TMEM174	1.29166666667	3.16547411647	2.94138615304
TMEM174	IOH13241	153.0	122.0	0	5644	IOH13241_TMEM174	1.25409836066	2.71729818961	2.94138615304
CGRRF1	IOH14256	144.0	108.0	0	5666	IOH14256_CGRRF1	1.33333333333	3.66254196262	2.74343537917
FGF7	IOH13684	146.0	114.0	0	5674	IOH13684_FGF7	1.28070175439	3.03466678853	1.5082209452
MYL7	IOH11842	145.0	115.0	0	5675	IOH11842_MYL7	1.26086956522	2.79807614323	1.09414971409
LOC51255	IOH5418	142.0	112.0	0	5704	IOH5418_LOC51255	1.26785714286	2.88143534724	1.58960517565
CBR3	IOH5424	136.0	110.0	0	5708	IOH5424_CBR3	1.23636363636	2.50572952067	2.03477028866
DBT	IOH21480	138.0	100.0	0	5740	IOH21480_DBT	1.38	4.21925795031	2.4894618457
RAC3	IOH14547	130.0	105.0	0	5741	IOH14547_RAC3	1.2380952381	2.5263868857	1.53608955515
TAF6	IOH11381	131.0	103.0	0	5768	IOH11381_TAF6	1.27184466019	2.92900494694	1.46727387787
ARRB2	IOH6100	164.0	120.0	0	5796	IOH6100_ARRB2	1.36666666667	4.06019623954	2.14629531131
ND	IOH5398	144.0	109.0	0	5797	IOH5398_ND	1.32110091743	3.5166137876	2.68581815484
WDR4	IOH6391	124.0	95.0	0	5803	IOH6391_WDR4	1.30526315789	3.32767520311	1.86834108637
CPN1	IOH11355	162.0	104.0	0	5838	IOH11355_CPN1	1.55769230769	6.3390611342	3.41018444073
DNAJC11	IOH13555	157.0	116.0	0	5923	IOH13555_DNAJC11	1.35344827586	3.90250575042	3.10932960819
MFGE8	IOH3899	158.0	105.0	0	5963	IOH3899_MFGE8	1.50476190476	5.70762110107	4.5058111611
MFGE8	IOH3899	159.0	122.0	0	5964	IOH3899_MFGE8	1.30327868852	3.30400122113	4.5058111611
GNAS	IOH39616	145.0	103.0	0	5970	IOH39616_GNAS	1.40776699029	4.5505078237	1.45549638036
NINJ2	IOH43470	173.0	125.0	0	6049	IOH43470_NINJ2	1.384	4.26697646354	2.49312527487
PADI3	IOH44889	140.0	110.0	0	6063	IOH44889_PADI3	1.27272727273	2.9395341864	1.98802866958
COMT	IOH45773	154.0	104.0	0	6090	IOH45773_COMT	1.48076923077	5.42139741823	3.33854227343
APRIN	IOH27247	164.0	103.0	0	6116	IOH27247_APRIN	1.59223300971	6.75111887074	3.56363092527
NUAK1	IOH36839	151.0	100.0	0	6117	IOH36839_NUAK1	1.51	5.7701096303	4.49978138824
NUAK1	IOH36839	131.0	101.0	0	6118	IOH36839_NUAK1	1.29702970297	3.22945314617	4.49978138824
TOMM40	IOH27264	129.0	104.0	0	6119	IOH27264_TOMM40	1.24038461538	2.55369830582	1.42573665494
PCSK1N	IOH5441	139.0	107.0	0	6148	IOH5441_PCSK1N	1.29906542056	3.25373850036	1.02620498421
