Name	ID	F635 Median	B635 Median	Flags	orig_row_number	ratio_naive	zscore_naive	zscore_mean_naive
AP1M2	IOH6555	77.0	77.0	0	62	1.0	-0.430078524188	-0.320688342673
ND	IOH14693	79.0	78.0	0	63	1.01282051282	-0.214103037607	0.187241019857
ND	IOH14693	80.0	77.0	0	64	1.03896103896	0.226262564901	0.187241019857
	IOH13680	84.0	84.0	0	65	1.0	-0.430078524188	0.0712931410884
	IOH13680	89.0	84.0	0	66	1.05952380952	0.572664806365	0.0712931410884
ND	IOH11195	86.0	83.0	0	67	1.03614457831	0.178816221112	0.640490929035
ND	IOH11195	85.0	80.0	0	68	1.0625	0.622801972892	0.640490929035
ND	IOH13909	80.0	77.0	0	69	1.03896103896	0.226262564901	0.109595697335
ND	IOH13909	87.0	76.0	0	70	1.14473684211	2.008171048	0.109595697335
FAM92A1	IOH10713	79.0	78.0	0	71	1.01282051282	-0.214103037607	0.334250308191
FAM92A1	IOH10713	83.0	77.0	0	72	1.07792207792	0.88260365399	0.334250308191
C4BPA	IOH13736	80.0	76.0	0	73	1.05263157895	0.45655768388	0.810014010069
C4BPA	IOH13736	81.0	74.0	0	74	1.09459459459	1.16347033626	0.810014010069
PROK1	IOH11285	76.0	74.0	0	75	1.02702702703	0.0252211502252	0.935820499051
PROK1	IOH11285	84.0	74.0	0	76	1.13513513514	1.84641984788	0.935820499051
CYP4B1	IOH14196	80.0	78.0	0	77	1.02564102564	0.00187244897325	-0.865174771425
CYP4B1	IOH14196	74.0	78.0	0	78	0.948717948718	-1.29398047051	-0.865174771425
ND	IOH10923	80.0	77.0	0	79	1.03896103896	0.226262564901	-0.372504744443
ND	IOH10923	71.0	77.0	0	80	0.922077922078	-1.74276070237	-0.372504744443
ZMYM5	IOH7230	77.0	77.0	0	81	1.0	-0.430078524188	0.234898631863
ZMYM5	IOH7230	82.0	76.0	0	82	1.07894736842	0.899875787913	0.234898631863
TMEM176A	IOH6987	87.0	76.0	0	83	1.14473684211	2.008171048	0.789046261905
TMEM176A	IOH6987	78.0	78.0	0	84	1.0	-0.430078524188	0.789046261905
PNLIPRP1	IOH7235	85.0	77.0	0	85	1.1038961039	1.32016438005	0.445042927931
PNLIPRP1	IOH7235	81.0	81.0	0	86	1.0	-0.430078524188	0.445042927931
THAP2	IOH6992	79.0	78.0	0	87	1.01282051282	-0.214103037607	-0.42607897814
THAP2	IOH6992	80.0	81.0	0	88	0.987654320988	-0.638054918673	-0.42607897814
ND	IOH7237	83.0	82.0	0	89	1.01219512195	-0.224638427197	0.493005429711
ND	IOH7237	81.0	76.0	0	90	1.06578947368	0.678216735897	0.493005429711
GMPR2	IOH6998	82.0	77.0	0	91	1.06493506494	0.66382329096	0.00888464009599
GMPR2	IOH6998	77.0	78.0	0	92	0.987179487179	-0.646054010768	0.00888464009599
HEY2	IOH6363	76.0	80.0	0	93	0.95	-1.27238292185	-1.17519395289
HEY2	IOH6363	75.0	78.0	0	94	0.961538461538	-1.07800498393	-1.17519395289
CAPRIN2	IOH7006	88.0	77.0	0	95	1.14285714286	1.97650546914	1.09307590197
CAPRIN2	IOH7006	82.0	79.0	0	96	1.03797468354	0.209646334798	1.09307590197
DDX50	IOH4504	90.0	85.0	0	97	1.05882352941	0.560867826005	1.0563410011
DDX50	IOH4504	95.0	85.0	0	98	1.11764705882	1.5518141762	1.0563410011
