Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
TMEM8	IOH12544	230.0	181.0	0	2961	IOH12544_TMEM8	1.27071823204	3.34773638749	2.22083007779
ND	IOH11633	195.0	157.0	0	4163	IOH11633_ND	1.24203821656	2.93655673953	2.09172344796
RASSF5	IOH5484	193.0	158.0	0	4547	IOH5484_RASSF5	1.22151898734	2.64237665267	2.46000857038
PPIL4	IOH10407	185.0	152.0	0	4561	IOH10407_PPIL4	1.21710526316	2.57909797148	2.06630186644
PTGER3	IOH57717	182.0	150.0	0	5365	IOH57717_PTGER3	1.21333333333	2.52502056772	2.19049523279
RECK	IOH46822	196.0	158.0	0	5367	IOH46822_RECK	1.24050632911	2.91459437549	2.59784205589
COX11	IOH7427	216.0	178.0	0	5685	IOH7427_COX11	1.21348314607	2.52716840293	2.16472121019
WDR45L	IOH6706	213.0	174.0	0	5688	IOH6706_WDR45L	1.22413793103	2.67992392478	1.14377518713
OR52D1	IOH28340	201.0	163.0	0	5858	IOH28340_OR52D1	1.23312883436	2.80882470813	1.82859408773
MFGE8	IOH3899	291.0	178.0	0	5963	IOH3899_MFGE8	1.63483146067	8.56795494865	8.76931450017
MFGE8	IOH3899	296.0	178.0	0	5964	IOH3899_MFGE8	1.66292134831	8.9706740517	8.76931450017
TRMT1	IOH10233	220.0	180.0	0	5965	IOH10233_TRMT1	1.22222222222	2.65245879055	2.16546272473
SLC25A26	IOH40179	221.0	181.0	0	6002	IOH40179_SLC25A26	1.22099447514	2.63485682607	1.79494013577
ODF2	IOH40890	226.0	186.0	0	6004	IOH40890_ODF2	1.21505376344	2.5496860302	1.85380474139
DUSP7	IOH13408	219.0	177.0	0	6100	IOH13408_DUSP7	1.23728813559	2.8684557784	2.23249893274
TOMM40	IOH27264	226.0	182.0	0	6120	IOH27264_TOMM40	1.24175824176	2.93254279677	2.11042467008
KLK4	IOH40236	208.0	171.0	0	6149	IOH40236_KLK4	1.21637426901	2.56861785448	2.00630536943
TSPAN6	IOH10449	215.0	175.0	0	6166	IOH10449_TSPAN6	1.22857142857	2.74348609257	2.18994168838
NSUN5	IOH57853	218.0	174.0	0	6167	IOH57853_NSUN5	1.25287356322	3.09190093824	2.67191979995
ZKSCAN3	IOH6566	181.0	146.0	0	8050	IOH6566_ZKSCAN3	1.2397260274	2.90340734578	2.05678771937
SC4MOL	IOH9727	174.0	142.0	0	8419	IOH9727_SC4MOL	1.22535211268	2.69733140422	1.13462613578
C1orf176	IOH55143	206.0	160.0	0	8570	IOH55143_C1orf176	1.2875	3.58833323946	2.66387189358
ZBTB37	IOH4570	215.0	173.0	0	8946	IOH4570_ZBTB37	1.24277456647	2.94711364102	2.64872797752
STEAP4	IOH12780	220.0	177.0	0	8977	IOH12780_STEAP4	1.24293785311	2.94945464884	0.664843173979
ZBTB25	IOH26026	198.0	161.0	0	9053	IOH26026_ZBTB25	1.2298136646	2.7612957821	2.57412913754
ZNF26	IOH26974	208.0	171.0	0	9055	IOH26974_ZNF26	1.21637426901	2.56861785448	1.54109537108
OR1A1	IOH28391	218.0	173.0	0	9074	IOH28391_OR1A1	1.26011560694	3.19572867111	2.78137028763
PCTK1	IOH4605	211.0	171.0	0	9091	IOH4605_PCTK1	1.23391812865	2.82014066269	2.63501212177
CDH3	IOH27722	224.0	178.0	0	9113	IOH27722_CDH3	1.25842696629	3.17151896781	2.44428319219
RP11-444E17.2	IOH27104	213.0	175.0	0	9122	IOH27104_RP11-444E17.2	1.21714285714	2.57963694893	1.78823638014
TNFAIP6	IOH22602	227.0	182.0	0	9144	IOH22602_TNFAIP6	1.24725274725	3.01131642352	2.00970552425
CLEC14A	IOH22634	208.0	169.0	0	9147	IOH22634_CLEC14A	1.23076923077	2.77499554327	2.25720304549
LOXL4	IOH9778	211.0	169.0	0	9192	IOH9778_LOXL4	1.24852071006	3.02949495277	2.5866762011
CCDC84	IOH43342	583.0	167.0	0	9260	IOH43342_CCDC84	3.49101796407	35.1797297377	18.2026747652
CS	IOH45813	215.0	177.0	0	9366	IOH45813_CS	1.21468926554	2.54446029662	2.15242576368
CDR2	IOH45783	214.0	172.0	0	9370	IOH45783_CDR2	1.24418604651	2.96734974813	1.93376648737
LOC201181	IOH53841	213.0	173.0	0	9371	IOH53841_LOC201181	1.23121387283	2.78137028763	1.88294381615
MAPK15	IOH45415	295.0	205.0	0	10015	IOH45415_MAPK15	1.43902439024	5.76070812789	3.27276889537
C11orf63	IOH12615	222.0	182.0	0	11106	IOH12615_C11orf63	1.21978021978	2.61744828977	1.20771910816
SLC35F1	IOH62092	202.0	159.0	0	12689	IOH62092_SLC35F1	1.27044025157	3.34375103704	1.80834963033
BCAP31	IOH53733	228.0	170.0	0	14173	IOH53733_BCAP31	1.34117647059	4.35788206667	5.49639266035
BCAP31	IOH53733	258.0	172.0	0	14174	IOH53733_BCAP31	1.5	6.63490325402	5.49639266035
STX10	IOH59047	557.0	162.0	0	15017	IOH59047_STX10	3.43827160494	34.4235157325	36.3262391984
STX10	IOH59047	600.0	162.0	0	15018	IOH59047_STX10	3.7037037037	38.2289626642	36.3262391984
PRMT8	IOH60863	344.0	277.0	0	17493	IOH60863_PRMT8	1.24187725632	2.93424908471	2.12917216997
CESK1	IOH21813	233.0	192.0	0	17924	IOH21813_CESK1	1.21354166667	2.52800740106	0.393176655846
RALGPS2	IOH26530	304.0	227.0	0	17925	IOH26530_RALGPS2	1.33920704846	4.32964685534	1.63116652564
DCTD	IOH54732	219.0	177.0	0	19025	IOH54732_DCTD	1.23728813559	2.8684557784	1.88832419527
HEMK1	IOH4648	185.0	152.0	0	19313	IOH4648_HEMK1	1.21710526316	2.57909797148	1.95984635174
SDHC	IOH14102	183.0	149.0	0	19352	IOH14102_SDHC	1.22818791946	2.73798779916	1.96822672166
UBE2G1	IOH45845	192.0	154.0	0	19677	IOH45845_UBE2G1	1.24675324675	3.00415518473	2.25938635
FAM45A	IOH12874	184.0	147.0	0	19698	IOH12874_FAM45A	1.25170068027	3.07508554994	2.22025134303
XPR1	IOH46671	183.0	150.0	0	19769	IOH46671_XPR1	1.22	2.62059923484	2.39344474025
KLRD1	IOH11597	234.0	191.0	0	20082	IOH11597_KLRD1	1.22513089005	2.69415977969	2.00034006028
FAM64A	IOH4814	207.0	169.0	0	20159	IOH4814_FAM64A	1.22485207101	2.69016240677	2.17467634792
MGC27348	IOH13582	199.0	163.0	0	20866	IOH13582_MGC27348	1.22085889571	2.63291305085	2.2086710151
HVCN1	IOH6885	202.0	165.0	0	20949	IOH6885_HVCN1	1.22424242424	2.68142202301	1.07396262139
CYP2A7	IOH39393	201.0	160.0	0	21130	IOH39393_CYP2A7	1.25625	3.14030823732	2.60267823475
ACSL5	IOH6123	193.0	159.0	0	21157	IOH6123_ACSL5	1.21383647799	2.53223405203	2.21664411341
SPATA6	IOH12837	192.0	157.0	0	21297	IOH12837_SPATA6	1.22292993631	2.66260514587	2.1465768295
RNF121	IOH57484	191.0	154.0	0	21367	IOH57484_RNF121	1.24025974026	2.91105908038	2.47909315624
EARS2	IOH55414	190.0	150.0	0	21369	IOH55414_EARS2	1.26666666667	3.2896499047	2.31512231835
KCTD14	IOH3701	220.0	181.0	0	21813	IOH3701_KCTD14	1.21546961326	2.55564798591	1.75129082377
nd	nd	269.0	203.0	0	23944	nd_nd	1.32512315271	4.12772885781	-0.216527501666
C5orf21	IOH11050	217.0	175.0	0	24838	IOH11050_C5orf21	1.24	2.90733523621	1.98809334947
ND	IOH5033	232.0	190.0	0	24884	IOH5033_ND	1.22105263158	2.63569060333	1.80965776174
HIST1H1C	IOH5275	222.0	183.0	0	24906	IOH5275_HIST1H1C	1.2131147541	2.52188684093	1.39856631433
DCI	IOH21422	207.0	168.0	0	24934	IOH21422_DCI	1.23214285714	2.79468894996	2.25335753601
ND	IOH3506	203.0	158.0	0	24964	IOH3506_ND	1.28481012658	3.54976906206	2.37179879565
TCEB3	IOH5703	211.0	173.0	0	25350	IOH5703_TCEB3	1.21965317919	2.61562693424	1.90472773173
METT11D1	IOH51939	234.0	191.0	0	25363	IOH51939_METT11D1	1.22513089005	2.69415977969	2.14494536621
TBL2	IOH57912	218.0	176.0	0	25369	IOH57912_TBL2	1.23863636364	2.8877850543	2.18323536991
C19orf12	IOH5544	200.0	163.0	0	26546	IOH5544_C19orf12	1.22699386503	2.72086887949	1.26235428573
ZNF165	IOH11880	199.0	163.0	0	26594	IOH11880_ZNF165	1.22085889571	2.63291305085	1.39310454414
	IOH43271	205.0	169.0	0	26861	IOH43271_	1.21301775148	2.52049613377	1.91574997357
PODNL1	IOH29237	200.0	159.0	0	26913	IOH29237_PODNL1	1.25786163522	3.16341392926	2.50969191356
VPS35	IOH4148	203.0	167.0	0	26939	IOH4148_VPS35	1.21556886228	2.55707089921	1.84227242931
CBLN4	IOH40259	204.0	163.0	0	26959	IOH40259_CBLN4	1.25153374233	3.07269219406	2.28759534491
TRGV3	IOH53760	210.0	172.0	0	26965	IOH53760_TRGV3	1.22093023256	2.63393579304	2.2091823862
	SNAPC3	193.0	159.0	0	27139	SNAPC3_	1.21383647799	2.53223405203	1.56759546788
BSG	IOH3378	199.0	157.0	0	28967	IOH3378_BSG	1.26751592357	3.30182553109	2.63084264226
ND	IOH29373	198.0	161.0	0	29073	IOH29373_ND	1.2298136646	2.7612957821	2.53867466302
ANXA13	IOH57590	226.0	186.0	0	31766	IOH57590_ANXA13	1.21505376344	2.5496860302	1.5447662853
STAC3	IOH57625	246.0	185.0	0	31769	IOH57625_STAC3	1.32972972973	4.19377243155	3.49630648227
STAC3	IOH57625	228.0	185.0	0	31770	IOH57625_STAC3	1.23243243243	2.79884053299	3.49630648227
PPIL5	IOH23002	206.0	167.0	0	32119	IOH23002_PPIL5	1.23353293413	2.81461820583	2.12009363673
MAP2K1IP1	IOH14346	195.0	157.0	0	32205	IOH14346_MAP2K1IP1	1.24203821656	2.93655673953	1.71822438188
PODXL2	IOH29380	190.0	154.0	0	32273	IOH29380_PODXL2	1.23376623377	2.81796297604	1.96935617878
ZNF790	IOH29499	192.0	154.0	0	32286	IOH29499_ZNF790	1.24675324675	3.00415518473	1.69484202496
CRY2	IOH27709	185.0	151.0	0	32317	IOH27709_CRY2	1.22516556291	2.69465687758	2.05178263396
TAX1BP1	IOH26697	190.0	153.0	0	32320	IOH26697_TAX1BP1	1.24183006536	2.93357251738	2.31719112067
CLTA	IOH13701	186.0	152.0	0	32338	IOH13701_CLTA	1.22368421053	2.67341902457	1.7480530173
ND	IOH44125	192.0	153.0	0	32433	IOH44125_ND	1.25490196078	3.1209816686	1.99738907332
IL24	IOH45583	184.0	151.0	0	32471	IOH45583_IL24	1.21854304636	2.59971118176	1.60278137567
EPC1	IOH22431	181.0	147.0	0	32543	IOH22431_EPC1	1.23129251701	2.78249779344	2.53867466302
ZNF416	IOH2940	174.0	139.0	0	32551	IOH2940_ZNF416	1.25179856115	3.07648884853	2.64192545246
PLGLB1	IOH7373	176.0	142.0	0	32553	IOH7373_PLGLB1	1.23943661972	2.89925816575	1.47349150496
ALDOB	IOH57619	188.0	154.0	0	32567	IOH57619_ALDOB	1.22077922078	2.63177076736	1.84045388046
RTCD1	IOH57633	184.0	148.0	0	32576	IOH57633_RTCD1	1.24324324324	2.95383296616	2.60536004594
LOC113386	IOH58618	187.0	150.0	0	32594	IOH58618_LOC113386	1.24666666667	3.00291390333	2.52502056772
CKAP4	IOH63158	186.0	148.0	0	32627	IOH63158_CKAP4	1.25675675676	3.14757350763	2.14747147116
NDUFB5	IOH63162	178.0	146.0	0	32632	IOH63162_NDUFB5	1.21917808219	2.60881556355	2.10323236973
IGHV4-31	IOH63077	177.0	143.0	0	32640	IOH63077_IGHV4-31	1.23776223776	2.87525288641	2.20194929089
MGC26718	IOH62057	164.0	135.0	0	32649	IOH62057_MGC26718	1.21481481481	2.54626027152	2.65666089022
MGC26718	IOH62057	171.0	139.0	0	32650	IOH62057_MGC26718	1.23021582734	2.76706150892	2.65666089022
CDC16	IOH61497	165.0	136.0	0	32680	IOH61497_CDC16	1.21323529412	2.52361499908	2.27895165287
C9orf86	IOH40918	167.0	136.0	0	32709	IOH40918_C9orf86	1.22794117647	2.73445029421	1.78569146615
APBA2BP	IOH26656	189.0	144.0	0	32718	IOH26656_APBA2BP	1.3125	3.94675324118	2.55881564713
	BC047750	173.0	141.0	0	32722	BC047750_	1.22695035461	2.72024507929	2.26268763029
C6orf115	IOH13372	166.0	137.0	0	32739	IOH13372_C6orf115	1.21167883212	2.50130031456	2.17863510621
RAD51L3	IOH40582	162.0	133.0	0	32756	IOH40582_RAD51L3	1.21804511278	2.59257240764	1.94586608446
BCAP31	IOH13941	235.0	167.0	0	32885	IOH13941_BCAP31	1.40718562874	5.30424216982	4.63345081204
BCAP31	IOH13941	222.0	169.0	0	32886	IOH13941_BCAP31	1.31360946746	3.96265945427	4.63345081204
HIST2H2AA3	IOH4867	204.0	168.0	0	32945	IOH4867_HIST2H2AA3	1.21428571429	2.53867466302	1.4267546239
UPK1A	IOH6773	191.0	155.0	0	32962	IOH6773_UPK1A	1.23225806452	2.79634065504	2.23086979542
HTN1	IOH12902	191.0	157.0	0	32965	IOH12902_HTN1	1.21656050955	2.57128794798	2.19850571609
FTSJ3	IOH27903	187.0	150.0	0	33097	IOH27903_FTSJ3	1.24666666667	3.00291390333	2.9921227635
FTSJ3	IOH27903	193.0	155.0	0	33098	IOH27903_FTSJ3	1.24516129032	2.98133162366	2.9921227635
