Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
DDC	IOH3416	137.0	111.0	0	103	IOH3416_DDC	1.23423423423	3.03733305968	2.09311973239
ND	IOH14420	131.0	109.0	0	134	IOH14420_ND	1.20183486239	2.51954036639	1.11886647761
C1orf110	IOH26253	110.0	90.0	0	244	IOH26253_C1orf110	1.22222222222	2.84536229924	2.44439111413
MDP-1	IOH26890	113.0	94.0	0	250	IOH26890_MDP-1	1.20212765957	2.52421972393	1.5749600528
BCL2L2	IOH45796	104.0	86.0	0	1374	IOH45796_BCL2L2	1.20930232558	2.63888212086	2.37136549415
SDPR	IOH10696	122.0	96.0	0	1636	IOH10696_SDPR	1.27083333333	3.62224397039	1.20030641034
BDH2	IOH62632	120.0	98.0	0	2293	IOH62632_BDH2	1.22448979592	2.88160167749	1.9846770659
KRCC1	IOH10031	133.0	108.0	0	2450	IOH10031_KRCC1	1.23148148148	2.99333976041	1.95003077959
FTL	IOH27869	136.0	110.0	0	2688	IOH27869_FTL	1.23636363636	3.07136423994	2.44044215549
PYDC1	IOH42416	140.0	114.0	0	2908	IOH42416_PYDC1	1.22807017544	2.9388217484	1.68208163336
CGB	IOH28014	107.0	89.0	0	3708	IOH28014_CGB	1.20224719101	2.52613002346	1.67509158612
HOMER3	IOH12410	115.0	95.0	0	4037	IOH12410_HOMER3	1.21052631579	2.65844340092	1.57763009369
MEF2B	IOH14302	116.0	95.0	0	4069	IOH14302_MEF2B	1.22105263158	2.82667040941	1.99537843661
BTN3A2	IOH5425	122.0	101.0	0	4108	IOH5425_BTN3A2	1.20792079208	2.61680305228	1.4348001159
MAPK11	IOH11420	124.0	97.0	0	4273	IOH11420_MAPK11	1.27835051546	3.74238031129	3.3378250066
MAPK11	IOH11420	124.0	101.0	0	4274	IOH11420_MAPK11	1.22772277228	2.93326970192	3.3378250066
AGXT2L1	IOH10786	116.0	96.0	0	4308	IOH10786_AGXT2L1	1.20833333333	2.62339610748	1.61768331081
FAM84A	IOH10816	116.0	93.0	0	4315	IOH10816_FAM84A	1.24731182796	3.24633348435	2.74667606812
CALB2	IOH59514	118.0	98.0	0	4625	IOH59514_CALB2	1.20408163265	2.55544727327	2.88160167749
CALB2	IOH59514	122.0	98.0	0	4626	IOH59514_CALB2	1.24489795918	3.2077560817	2.88160167749
FIS1	IOH5476	126.0	100.0	0	4748	IOH5476_FIS1	1.26	3.44911034082	2.35150846279
MAP2K1IP1	IOH14346	121.0	94.0	0	4758	IOH14346_MAP2K1IP1	1.28723404255	3.88435298406	2.34347771653
IGHG1	IOH62693	118.0	98.0	0	5519	IOH62693_IGHG1	1.20408163265	2.55544727327	1.9846770659
ND	IOH7543	131.0	106.0	0	5655	IOH7543_ND	1.2358490566	3.06314044964	1.63513800629
WDR45L	IOH6706	128.0	104.0	0	5687	IOH6706_WDR45L	1.23076923077	2.98195687878	1.61214519903
SDC4	IOH23050	127.0	104.0	0	5720	IOH23050_SDC4	1.22115384615	2.8282879768	2.5831494903
C1orf162	IOH23052	124.0	103.0	0	5724	IOH23052_C1orf162	1.20388349515	2.55228072566	1.53191353293
MOBKL2A	IOH10112	132.0	108.0	0	5757	IOH10112_MOBKL2A	1.22222222222	2.84536229924	2.0314862628
ND	IOH5398	123.0	101.0	0	5797	IOH5398_ND	1.21782178218	2.7750363771	2.05290291924
GZMK	IOH26030	123.0	102.0	0	5846	IOH26030_GZMK	1.20588235294	2.58422560306	2.37137456013
SEC31B	IOH26901	125.0	102.0	0	5847	IOH26901_SEC31B	1.22549019608	2.89758963848	1.5438277191
KPNA4	IOH7281	127.0	104.0	0	5925	IOH7281_KPNA4	1.22115384615	2.8282879768	1.84450569252
TFEB	IOH21660	132.0	106.0	0	5940	IOH21660_TFEB	1.24528301887	3.21390993838	1.9260285112
RASD1	IOH11312	123.0	102.0	0	5950	IOH11312_RASD1	1.20588235294	2.58422560306	2.13768185258
SLC16A5	IOH9900	128.0	102.0	0	5957	IOH9900_SLC16A5	1.25490196078	3.36763569161	2.32961732428
MFGE8	IOH3899	210.0	105.0	0	5963	IOH3899_MFGE8	2.0	15.2754690376	13.9939283833
MFGE8	IOH3899	195.0	106.0	0	5964	IOH3899_MFGE8	1.83962264151	12.712387729	13.9939283833
MAGEA9	IOH3481	126.0	103.0	0	5976	IOH3481_MAGEA9	1.22330097087	2.8626023918	2.67640939212
PGD	IOH3407	139.0	109.0	0	6141	IOH3407_PGD	1.2752293578	3.69249932466	3.80828791341
PGD	IOH3407	138.0	107.0	0	6142	IOH3407_PGD	1.28971962617	3.92407650217	3.80828791341
KLK4	IOH40236	127.0	104.0	0	6150	IOH40236_KLK4	1.22115384615	2.8282879768	2.39289275451
NSUN5	IOH57853	126.0	103.0	0	6167	IOH57853_NSUN5	1.22330097087	2.8626023918	2.47470030912
SERPINB2	IOH53975	136.0	105.0	0	6184	IOH53975_SERPINB2	1.29523809524	4.01227027876	3.01001215361
C12orf64	IOH63459	131.0	106.0	0	6262	IOH63459_C12orf64	1.2358490566	3.06314044964	2.24395956082
NSMCE2	IOH21786	107.0	89.0	0	6545	IOH21786_NSMCE2	1.20224719101	2.52613002346	1.0875895807
TDP1	IOH9929	111.0	92.0	0	6661	IOH9929_TDP1	1.20652173913	2.59444399552	1.37845529285
C4orf20	IOH10234	112.0	92.0	0	6668	IOH10234_C4orf20	1.21739130435	2.76815666733	1.36397923687
OPHN1	IOH29208	110.0	88.0	0	7486	IOH29208_OPHN1	1.25	3.28929468275	1.29159895694
ND	IOH6807	118.0	96.0	0	8184	IOH6807_ND	1.22916666667	2.95634539512	2.02204892472
TRFP	IOH26265	122.0	100.0	0	8247	IOH26265_TRFP	1.22	2.80984770856	2.14864959382
OR7A5	IOH39552	130.0	96.0	0	8330	IOH39552_OR7A5	1.35416666667	4.95404112093	2.67778881289
COL14A1	IOH12428	127.0	99.0	0	8362	IOH12428_COL14A1	1.28282828283	3.81394204509	1.63303930052
ZSCAN20	IOH9780	127.0	105.0	0	8384	IOH9780_ZSCAN20	1.20952380952	2.64242178106	1.6732315858
OR51B4	IOH28418	130.0	104.0	0	8427	IOH28418_OR51B4	1.25	3.28929468275	1.69113810211
TMEM31	IOH21588	125.0	104.0	0	8966	IOH21588_TMEM31	1.20192307692	2.52095017283	1.52210230992
IKIP	IOH29079	157.0	110.0	0	9111	IOH29079_IKIP	1.42727272727	6.12239043936	8.7195614964
IKIP	IOH29079	191.0	109.0	0	9112	IOH29079_IKIP	1.75229357798	11.3167325534	8.7195614964
RP11-444E17.2	IOH27104	121.0	100.0	0	9121	IOH27104_RP11-444E17.2	1.21	2.65003205049	1.20699066738
	IOH23182	128.0	103.0	0	9177	IOH23182_	1.2427184466	3.17292405795	3.40566530756
	IOH23182	131.0	103.0	0	9178	IOH23182_	1.27184466019	3.63840655717	3.40566530756
UNQ846	IOH45939	128.0	101.0	0	9286	IOH45939_UNQ846	1.26732673267	3.56620300118	2.2515354707
C8orf58	IOH62916	130.0	106.0	0	9494	IOH62916_C8orf58	1.22641509434	2.9123709609	1.76292651005
IGKC	IOH63055	138.0	107.0	0	9495	IOH63055_IGKC	1.28971962617	3.92407650217	3.38471940071
IGKC	IOH63055	132.0	108.0	0	9496	IOH63055_IGKC	1.22222222222	2.84536229924	3.38471940071
AAMP	IOH62930	130.0	104.0	0	9498	IOH62930_AAMP	1.25	3.28929468275	1.88904066934
	FOXN2	130.0	108.0	0	9542	FOXN2_	1.2037037037	2.5494073769	1.92950179632
WDR54	IOH27057	114.0	94.0	0	9920	IOH27057_WDR54	1.21276595745	2.69423638145	1.24641031903
AZIN1	IOH12717	129.0	104.0	0	12045	IOH12717_AZIN1	1.24038461538	3.13562578077	2.02117378976
POMZP3	IOH3431	137.0	108.0	0	12127	IOH3431_POMZP3	1.26851851852	3.5852496051	2.25345245456
PIAS3	IOH4782	134.0	108.0	0	12375	IOH4782_PIAS3	1.24074074074	3.14131722158	1.72611459293
APOC1	IOH9856	131.0	103.0	0	12759	IOH9856_APOC1	1.27184466019	3.63840655717	1.31922165933
NDUFA3	IOH14726	119.0	99.0	0	12873	IOH14726_NDUFA3	1.20202020202	2.52250238396	1.75338176847
HERPUD2	IOH6630	122.0	100.0	0	12886	IOH6630_HERPUD2	1.22	2.80984770856	2.02045521569
IGL@	IOH11716	127.0	105.0	0	12953	IOH11716_IGL@	1.20952380952	2.64242178106	2.77739637098
IGL@	IOH11716	130.0	106.0	0	12954	IOH11716_IGL@	1.22641509434	2.9123709609	2.77739637098
USP45	IOH7540	122.0	100.0	0	13015	IOH7540_USP45	1.22	2.80984770856	1.66655107779
CNIH	IOH50086	134.0	111.0	0	13314	IOH50086_CNIH	1.20720720721	2.60539884869	2.05182799208
ZNF69	IOH28083	131.0	107.0	0	13349	IOH28083_ZNF69	1.22429906542	2.87855350548	2.63999171061
FADS1	IOH55275	127.0	105.0	0	13362	IOH55275_FADS1	1.20952380952	2.64242178106	1.93900528874
OPTN	IOH57143	130.0	107.0	0	13378	IOH57143_OPTN	1.21495327103	2.72919307739	2.30919665991
HAND2	IOH63592	134.0	110.0	0	14270	IOH63592_HAND2	1.21818181818	2.78079031618	0.895331690901
LOC554208	IOH26529	125.0	102.0	0	14658	IOH26529_LOC554208	1.22549019608	2.89758963848	1.53560604416
