Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
CCL3L3	IOH6518	156.0	131.0	0	49	IOH6518_CCL3L3	1.19083969466	2.51009868096	1.94721167364
SURF4	IOH14151	144.0	120.0	0	51	IOH14151_SURF4	1.2	2.6518903833	2.10263811698
CCDC44	IOH6606	148.0	124.0	0	184	IOH6606_CCDC44	1.1935483871	2.55202633488	1.57002985872
TRUB1	IOH22254	144.0	118.0	0	235	IOH22254_TRUB1	1.22033898305	2.96671602748	2.03535683012
RGS20	IOH39665	137.0	114.0	0	334	IOH39665_RGS20	1.20175438596	2.67904639647	1.85787217221
	IOH41598	153.0	125.0	0	465	IOH41598_	1.224	3.02338464344	1.41357618286
ND	IOH55284	145.0	120.0	0	567	IOH55284_ND	1.20833333333	2.78088144585	2.51703609064
CORO6	IOH40669	133.0	107.0	0	710	IOH40669_CORO6	1.24299065421	3.31733960317	2.82398461346
ITGB7	IOH12535	144.0	119.0	0	755	IOH12535_ITGB7	1.21008403361	2.80798040857	1.04165487401
C14orf100	IOH7244	148.0	123.0	0	892	IOH7244_C14orf100	1.20325203252	2.70222835893	2.3979311702
WDR62	IOH12715	163.0	131.0	0	1026	IOH12715_WDR62	1.24427480916	3.33721694462	2.09161622614
KIAA1840	IOH12815	152.0	122.0	0	1092	IOH12815_KIAA1840	1.24590163934	3.3623985311	1.77132685797
SDPR	IOH10696	130.0	108.0	0	1636	IOH10696_SDPR	1.2037037037	2.70921974443	1.46060569267
GDA	IOH28942	148.0	118.0	0	1877	IOH28942_GDA	1.25423728814	3.49142543445	3.09789337922
GDA	IOH28942	142.0	118.0	0	1878	IOH28942_GDA	1.20338983051	2.704361324	3.09789337922
EML1	IOH27605	169.0	138.0	0	2717	IOH27605_EML1	1.22463768116	3.03325526387	1.80685046844
SELM	IOH39943	167.0	130.0	0	3756	IOH39943_SELM	1.28461538462	3.96164578762	2.79947550335
NFIC	IOH12484	150.0	122.0	0	4034	IOH12484_NFIC	1.22950819672	3.10864562117	1.70991006889
C4orf34	IOH7409	131.0	110.0	0	4126	IOH7409_C4orf34	1.19090909091	2.51117286052	1.29599357484
PAICS	IOH10896	156.0	130.0	0	4147	IOH10896_PAICS	1.2	2.6518903833	1.87203602043
COMMD7	IOH62089	156.0	124.0	0	4701	IOH62089_COMMD7	1.25806451613	3.55066681911	2.25697346454
MAP2K1IP1	IOH14346	193.0	147.0	0	4757	IOH14346_MAP2K1IP1	1.31292517007	4.39985090434	2.89308986754
MAP2K1IP1	IOH14346	206.0	144.0	0	4758	IOH14346_MAP2K1IP1	1.43055555556	6.22064311375	2.89308986754
LFNG	IOH11293	163.0	136.0	0	5639	IOH11293_LFNG	1.19852941176	2.62912725462	1.95255648538
IGHG1	IOH12297	162.0	135.0	0	5647	IOH12297_IGHG1	1.2	2.6518903833	1.843799315
ND	IOH7543	163.0	131.0	0	5655	IOH7543_ND	1.24427480916	3.33721694462	2.39193892901
TAC3	IOH23098	168.0	139.0	0	5774	IOH23098_TAC3	1.20863309353	2.78552141213	1.79222994483
ND	IOH11198	173.0	145.0	0	5941	IOH11198_ND	1.19310344828	2.54513915913	1.5771161535
MFGE8	IOH3899	205.0	122.0	0	5963	IOH3899_MFGE8	1.68032786885	10.0868506442	10.5656110172
MFGE8	IOH3899	223.0	128.0	0	5964	IOH3899_MFGE8	1.7421875	11.0443713902	10.5656110172
BZW2	IOH7437	161.0	134.0	0	5997	IOH7437_BZW2	1.20149253731	2.67499326018	2.02607421857
SGPP2	IOH42353	149.0	120.0	0	6856	IOH42353_SGPP2	1.24166666667	3.29684569603	1.99741933645
BBS10	IOH10848	152.0	127.0	0	7236	IOH10848_BBS10	1.1968503937	2.60313785573	1.9131020808
HEXIM2	IOH14178	152.0	124.0	0	8056	IOH14178_HEXIM2	1.22580645161	3.05134657699	2.27115869869
