Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
NDEL1	IOH55086	99.0	82.0	0	570	IOH55086_NDEL1	1.20731707317	3.26857767888	2.56827197274
IGKV1-5	IOH63076	93.0	79.0	0	635	IOH63076_IGKV1-5	1.17721518987	2.77469119535	1.80920040846
TRAK1	IOH13480	92.0	78.0	0	838	IOH13480_TRAK1	1.17948717949	2.81196809759	1.95479904372
2-Sep	IOH27640	95.0	81.0	0	1112	IOH27640_2-Sep	1.17283950617	2.70289864288	1.69517478814
ND	IOH6546	89.0	76.0	0	1661	IOH6546_ND	1.17105263158	2.67358110148	1.37551107803
SH3GLB2	IOH14380	95.0	81.0	0	2468	IOH14380_SH3GLB2	1.17283950617	2.70289864288	1.69011084917
DHRS12	IOH14857	94.0	80.0	0	2473	IOH14857_DHRS12	1.175	2.73834621566	1.80911341493
SPRYD4	IOH12056	114.0	97.0	0	2618	IOH12056_SPRYD4	1.17525773196	2.74257486573	1.5585528471
CACNG6	IOH23110	103.0	87.0	0	2770	IOH23110_CACNG6	1.18390804598	2.88450197141	1.00709712049
AASDH	IOH12423	94.0	81.0	0	4035	IOH12423_AASDH	1.16049382716	2.50034108414	2.53489502063
AASDH	IOH12423	99.0	85.0	0	4036	IOH12423_AASDH	1.16470588235	2.56944895712	2.53489502063
TMEM186	IOH13084	96.0	81.0	0	4042	IOH13084_TMEM186	1.18518518519	2.90545620162	1.78162781848
BTN3A2	IOH5425	94.0	81.0	0	4108	IOH5425_BTN3A2	1.16049382716	2.50034108414	1.67202535286
CDKN1A	IOH5068	101.0	86.0	0	4122	IOH5068_CDKN1A	1.17441860465	2.72880716784	1.96568334188
TMEM106B	IOH26177	98.0	84.0	0	4254	IOH26177_TMEM106B	1.16666666667	2.60161986351	1.62040721866
IGHG1	IOH13647	98.0	82.0	0	4323	IOH13647_IGHG1	1.19512195122	3.06849033427	2.69832874674
ND	IOH28846	96.0	82.0	0	5093	IOH28846_ND	1.17073170732	2.66831564505	1.45848518926
CPN1	IOH11355	104.0	89.0	0	5837	IOH11355_CPN1	1.16853932584	2.63234488647	1.42805757368
MFGE8	IOH3899	131.0	86.0	0	5963	IOH3899_MFGE8	1.52325581395	8.45223586252	9.62871842753
MFGE8	IOH3899	155.0	93.0	0	5964	IOH3899_MFGE8	1.66666666667	10.8052009926	9.62871842753
TSPAN12	IOH21605	118.0	90.0	0	6637	IOH21605_TSPAN12	1.31111111111	4.97154330079	3.65939427782
