IDName	ID	Name	zscore	ratio	zscores	ratios
IOH14151_SURF4	IOH14151	SURF4	2.00212479738	1.16451612903	2.53440452262;1.46984507214	1.2;1.12903225806
IOH22254_TRUB1	IOH22254	TRUB1	1.93692258142	1.16016949153	2.83950168408;1.03434347876	1.22033898305;1.1
IOH39665_RGS20	IOH39665	RGS20	1.7649224082	1.14870327994	0.969123433375;2.56072138303	1.09565217391;1.20175438596
IOH41598_	IOH41598		1.33435568753	1.12	2.89441917314;-0.225707798078	1.224;1.016
IOH55284_ND	IOH55284	ND	2.40371738622	1.19128787879	2.6594096096;2.14802516283	1.20833333333;1.17424242424
IOH40669_CORO6	IOH40669	CORO6	2.70118083864	1.21111796861	2.22307109842;3.17929057885	1.17924528302;1.24299065421
IOH12535_ITGB7	IOH12535	ITGB7	0.850031427173	1.08771302992	2.6856711825;0.354628318264;0.248597217693;0.111228990234	1.21008403361;1.0546875;1.04761904762;1.03846153846
IOH10127_ND	IOH10127	ND	2.13377346514	1.17329234973	1.6593689137;2.60817801658	1.14166666667;1.20491803279
IOH12815_KIAA1840	IOH12815	KIAA1840	1.52457080146	1.13268049155	0.248597217693;2.80054438524	1.04761904762;1.21774193548
IOH4709_USP5	IOH4709	USP5	1.71497512545	1.14537359659	0.724807072886;2.70514317801	1.07936507937;1.21138211382
IOH10696_SDPR	IOH10696	SDPR	1.20245681494	1.11120709966	-0.213606465287;2.61852009517	1.01680672269;1.20560747664
IOH28942_GDA	IOH28942	GDA	2.84297127041	1.22057027939	3.25238245814;2.43356008269	1.24786324786;1.19327731092
IOH27605_EML1	IOH27605	EML1	1.70335610364	1.14459902666	2.87974231688;0.526969890398	1.22302158273;1.06617647059
IOH39943_SELM	IOH39943	SELM	2.67742908885	1.20953458306	1.55117123337;3.80368694434	1.13445378151;1.28461538462
IOH12484_NFIC	IOH12484	NFIC	2.51001328613	1.19837398374	1.48558135374;3.53444521852	1.13008130081;1.26666666667
IOH7409_C4orf34	IOH7409	C4orf34	1.50071013199	1.13108984499	0.439491685507;2.56192857847	1.06034482759;1.20183486239
IOH21481_ST3GAL1	IOH21481	ST3GAL1	1.65703100442	1.14151081239	2.50854140117;0.805520607664	1.19827586207;1.08474576271
IOH22117_ND	IOH22117	ND	1.83663022558	1.15348360656	2.90941978358;0.763840667573	1.225;1.08196721311
IOH2877_CEP72	IOH2877	CEP72	1.1099768087	1.10504201681	-0.465717565095;2.6856711825	1.0;1.21008403361
IOH62089_COMMD7	IOH62089	COMMD7	2.15169100116	1.17448680352	3.40540770937;0.897974292955	1.25806451613;1.09090909091
IOH14346_MAP2K1IP1	IOH14346	MAP2K1IP1	2.91332030924	1.22526002446	5.05534044354;6.44945745977;-0.331783543322;0.480266876976	1.36805555556;1.4609929078;1.00892857143;1.06306306306
IOH11293_LFNG	IOH11293	LFNG	2.48239294978	1.19653270292	3.08998268701;1.87480321255	1.23703703704;1.15602836879
IOH12297_IGHG1	IOH12297	IGHG1	2.38606088998	1.19011082694	3.06383783221;1.70828394774	1.23529411765;1.14492753623
IOH7543_ND	IOH7543	ND	3.24539354832	1.2473973395	3.57290832221;2.91787877443	1.26923076923;1.22556390977
IOH23098_TAC3	IOH23098	TAC3	1.9084797705	1.15827338129	1.15305334554;2.66390619547	1.10791366906;1.20863309353
IOH3899_MFGE8	IOH3899	MFGE8	16.9892063769	2.1636142418	16.7480976923;17.2303150616	2.14754098361;2.1796875
IOH7437_BZW2	IOH7437	BZW2	1.90570246747	1.15808823529	2.51234480138;1.29906013356	1.19852941176;1.11764705882
IOH6527_WBSCR18	IOH6527	WBSCR18	1.82776419617	1.15289256198	2.5096101252;1.14591826715	1.19834710744;1.10743801653
IOH12428_COL14A1	IOH12428	COL14A1	1.81732200496	1.15219644423	2.5073763957;1.12726761422	1.1981981982;1.10619469027
IOH13099_ZNF643	IOH13099	ZNF643	2.45992470951	1.19503488119	2.14802516283;2.77182425618	1.17424242424;1.21582733813
IOH11253_C20orf28	IOH11253	C20orf28	3.31103187156	1.25177304965	2.30035244485;4.32171129827	1.18439716312;1.31914893617
IOH13202_HLA-DQB1	IOH13202	HLA-DQB1	2.87936498101	1.22299642803	3.31065988797;2.44807007405	1.25174825175;1.19424460432
IOH10695_PECAM1	IOH10695	PECAM1	2.44584619867	1.19409635199	2.57951914048;2.31217325686	1.2030075188;1.18518518519
IOH7255_BCAS2	IOH7255	BCAS2	2.48763843511	1.19688238771	3.04506360137;1.93021326884	1.23404255319;1.15972222222
IOH13297_ND	IOH13297	ND	2.54697756812	1.20083816892	2.83228898523;2.26166615101	1.21985815603;1.18181818182
IOH2282_ND	IOH2282	ND	2.07739499596	1.16953393807	2.66390619547;1.49088379646	1.20863309353;1.13043478261
IOH3112_NCAPG	IOH3112	NCAPG	2.56522769475	1.20205479452	1.7946483914;3.3358069981	1.15068493151;1.25342465753
IOH22116_RP11-262H14.4	IOH22116	RP11-262H14.4	1.36820030491	1.12225621601	2.68126364579;0.0551369640216	1.20979020979;1.03472222222
IOH4956_ANGPTL7	IOH4956	ANGPTL7	2.38331923762	1.18992805755	2.23223395263;2.53440452262	1.17985611511;1.2
IOH13663_LTF	IOH13663	LTF	2.14157445422	1.1738123945	1.70678463635;2.57636427209	1.14482758621;1.2027972028
IOH27835_QPRT	IOH27835	QPRT	0.911828018426	1.09183263502	-0.916863743698;2.74051978055	0.96992481203;1.21374045802
IOH22041_MGC42157	IOH22041	MGC42157	2.28439434864	1.18333333333	2.53440452262;2.03438417466	1.2;1.16666666667
IOH22051_FAM27E3	IOH22051	FAM27E3	2.10392025246	1.17130221654	1.62995595206;2.57788455287	1.13970588235;1.20289855072
IOH28171_MRGPRX3	IOH28171	MRGPRX3	2.6569732286	1.20817091454	2.46918447723;2.84476197996	1.19565217391;1.22068965517
IOH13962_IQWD1	IOH13962	IQWD1	1.62830926532	1.1395961077	0.623036418348;2.63358211229	1.07258064516;1.20661157025
IOH14110_DBC1	IOH14110	DBC1	2.39095606214	1.19043715847	3.03442487057;1.74748725371	1.23333333333;1.14754098361
IOH4604_SPIN2B	IOH4604	SPIN2B	2.26914721919	1.1823168994	1.64180621553;2.89648822286	1.14049586777;1.22413793103
IOH28240_OR4D10	IOH28240	OR4D10	1.3970944325	1.12418241279	0.120243780161;2.67394508483	1.0390625;1.20930232558
