IDName	ID	Name	zscore	ratio	zscores	ratios
IOH11027_C3orf49	IOH11027	C3orf49	1.8710471182	1.1349871134	2.78591743176;0.956176804637	1.1875;1.0824742268
IOH10689_TWSG1	IOH10689	TWSG1	1.14194621271	1.0931372549	2.76456715618;-0.480674730769	1.1862745098;1.0
IOH4511_SPG21	IOH4511	SPG21	1.18763183088	1.09575957596	-0.135688099743;2.51095176151	1.0198019802;1.17171717172
IOH25866_TWF1	IOH25866	TWF1	1.84052722942	1.13323529412	1.08728950724;2.59376495161	1.09;1.17647058824
IOH29385_IGHG1	IOH29385	IGHG1	1.64732953918	1.12214588806	-0.135688099743;3.4303471781	1.0198019802;1.22448979592
IOH10319_CENPH	IOH10319	CENPH	3.21186599886	1.21194913609	3.65916484154;2.76456715618	1.23762376238;1.1862745098
IOH61989_C16orf3	IOH61989	C16orf3	1.227347315	1.09803921569	2.59376495161;-0.139070321616	1.17647058824;1.01960784314
IOH40669_CORO6	IOH40669	CORO6	1.84631033627	1.13356724022	4.00415147256;-0.311530800023	1.25742574257;1.00970873786
IOH40909_MRPS35	IOH40909	MRPS35	2.15953996554	1.15154639175	1.31538968849;3.00369024259	1.10309278351;1.2
IOH14421_SETMAR	IOH14421	SETMAR	1.37829761285	1.10670365233	-0.31475258918;3.07134781489	1.00952380952;1.20388349515
IOH11951_ICT1	IOH11951	ICT1	1.27205515701	1.10060541311	-0.158048344347;2.70215865836	1.01851851852;1.18269230769
IOH23174_C2orf34	IOH23174	C2orf34	6.09359880387	1.37735849057	0.834179976159;11.3530176316	1.07547169811;1.67924528302
IOH28984_CPNE2	IOH28984	CPNE2	1.89502866016	1.13636363636	0.944747303787;2.84531001653	1.08181818182;1.19090909091
IOH45796_BCL2L2	IOH45796	BCL2L2	2.50611587381	1.1714395953	2.77574113218;2.23649061543	1.18691588785;1.15596330275
IOH13299_KIF20A	IOH13299	KIF20A	1.45850624708	1.11130756925	2.61292033904;0.304092155123	1.17757009346;1.04504504505
IOH3142_PLEK2	IOH3142	PLEK2	3.28865624036	1.21635683977	2.96919157949;3.60812090123	1.19801980198;1.23469387755
IOH12056_SPRYD4	IOH12056	SPRYD4	2.40807229843	1.16581196581	2.61653857888;2.19960601797	1.17777777778;1.15384615385
IOH27869_FTL	IOH27869	FTL	2.49660572654	1.17089371981	1.60236954678;3.3908419063	1.11956521739;1.22222222222
IOH28622_ND	IOH28622	ND	1.80143361191	1.13099134908	0.446018081295;3.15684914252	1.05319148936;1.20879120879
IOH46472_PSMC3	IOH46472	PSMC3	2.17063339435	1.15218314645	1.75699084845;2.58427594024	1.12844036697;1.17592592593
IOH63220_PRB3	IOH63220	PRB3	1.3444688267	1.10476190476	0.183013835585;2.50592381782	1.0380952381;1.17142857143
IOH9797_CREB1	IOH9797	CREB1	1.90935284283	1.13718583397	2.62420494846;1.19450073719	1.17821782178;1.09615384615
IOH11788_UNQ1887	IOH11788	UNQ1887	1.25621772812	1.09969635628	-0.0222056553268;2.53464111156	1.02631578947;1.17307692308
IOH7444_ND	IOH7444	ND	1.69196522779	1.12470794393	2.77574113218;0.608189323406	1.18691588785;1.0625
IOH5423_SSX2	IOH5423	SSX2	2.43057274624	1.16710347505	1.07176510885;3.78938038364	1.08910891089;1.24509803922
IOH5430_DIMT1L	IOH5430	DIMT1L	3.13811065683	1.20771563342	2.31926140854;3.95695990511	1.16071428571;1.25471698113
IOH10896_PAICS	IOH10896	PAICS	2.34655123446	1.16228070175	3.03425484762;1.65884762129	1.20175438596;1.12280701754
IOH6467_	IOH6467		1.70545582677	1.12548229444	0.797991314501;2.61292033904	1.07339449541;1.17757009346
IOH25803_TFAP2B	IOH25803	TFAP2B	1.36201828399	1.10576923077	0.189395456416;2.53464111156	1.03846153846;1.17307692308
IOH28105_MGC59937	IOH28105	MGC59937	2.07742578888	1.14683309809	3.03719375195;1.11765782582	1.20192307692;1.09174311927
IOH13647_IGHG1	IOH13647	IGHG1	2.46388974734	1.16901584654	2.21178911228;2.7159903824	1.15454545455;1.18348623853
IOH14850_PARP3	IOH14850	PARP3	2.019679764	1.14351851852	1.29377039455;2.74558913345	1.10185185185;1.18518518519
IOH26257_LOC153222	IOH26257	LOC153222	2.12403790595	1.14950859951	1.40276579537;2.84531001653	1.10810810811;1.19090909091
IOH4833_CDK5RAP1	IOH4833	CDK5RAP1	7.43755131567	1.45450038139	6.03357282812;8.84152980322	1.37391304348;1.5350877193
IOH13729_CYFIP2	IOH13729	CYFIP2	3.58746503385	1.23350824588	4.62572221295;2.54920785476	1.29310344828;1.17391304348
IOH5476_FIS1	IOH5476	FIS1	2.82207440165	1.18957538362	3.19549014938;2.44865865391	1.21100917431;1.16814159292
IOH12278_CASQ2	IOH12278	CASQ2	1.27990840945	1.10105618405	2.74558913345;1.10312752985;0.54413849669;0.726778477821	1.18518518519;1.09090909091;1.05882352941;1.06930693069
IOH14346_MAP2K1IP1	IOH14346	MAP2K1IP1	2.71316151541	1.18332386364	4.58749250321;2.37016933834;3.33034945884;0.564634761239	1.29090909091;1.16363636364;1.21875;1.06
IOH29900_JAK2	IOH29900	JAK2	2.46052216858	1.16882254998	5.47942324998;2.75700953651;1.499078095;0.106577792831	1.34210526316;1.18584070796;1.11363636364;1.03370786517
IOH4650_ND	IOH4650	ND	0.872476715196	1.07766990291	-1.15725045375;2.90220388414	0.961165048544;1.19417475728
IOH27299_MAX	IOH27299	MAX	1.84291169585	1.13337216075	0.54413849669;3.141684895	1.05882352941;1.20792079208
IOH62937_	IOH62937		1.90721175447	1.13706293706	0.944747303787;2.86967620515	1.08181818182;1.19230769231
IOH13325_MRPL44	IOH13325	MRPL44	2.82681097844	1.18984725966	1.82032100636;3.83330095053	1.1320754717;1.24761904762
IOH12297_IGHG1	IOH12297	IGHG1	1.274611203	1.10075212828	-0.166767976412;2.7159903824	1.01801801802;1.18348623853
IOH11847_TEAD3	IOH11847	TEAD3	2.44712616571	1.16805362922	2.05648423041;2.837768101	1.14563106796;1.19047619048
IOH14165_CAP1	IOH14165	CAP1	2.32824674368	1.16123003738	2.55615712675;2.10033636061	1.17431192661;1.14814814815
IOH12237_TMIGD2	IOH12237	TMIGD2	6.9135161203	1.4244211446	6.15621093277;7.67082130782	1.38095238095;1.46788990826
IOH3899_MFGE8	IOH3899	MFGE8	19.1181647031	2.12495904325	15.5411820664;22.6951473397	1.91964285714;2.33027522936
IOH10233_TRMT1	IOH10233	TRMT1	1.64390325667	1.12194922195	0.786367077725;2.50143943562	1.07272727273;1.17117117117
IOH39624_EEF2	IOH39624	EEF2	1.78423087642	1.13000392465	1.0269831904;2.54147856245	1.08653846154;1.17346938776
IOH63459_C12orf64	IOH63459	C12orf64	2.28616851921	1.15881477808	1.75699084845;2.81534618998	1.12844036697;1.18918918919
BC067739_	BC067739		1.5920719892	1.11897414512	0.627986851664;2.55615712675	1.06363636364;1.17431192661
IOH27982_ALB	IOH27982	ALB	1.22743599734	1.09804430599	2.61292033904;-0.158048344347	1.17757009346;1.01851851852
IOH6586_IMPDH2	IOH6586	IMPDH2	2.20407160603	1.15410247533	2.97081887492;1.43732433714	1.19811320755;1.11009174312
IOH42364_IQCG	IOH42364	IQCG	1.33784417117	1.10438165438	2.5285495644;0.147138777945	1.17272727273;1.03603603604
IOH42575_ZW10	IOH42575	ZW10	2.02162043683	1.14362991172	2.7159903824;1.32725049126	1.18348623853;1.10377358491
IOH42822_CDH8	IOH42822	CDH8	1.61445939117	1.12025916561	2.63036542402;0.598553358325	1.17857142857;1.06194690265
IOH57255_PCDHB13	IOH57255	PCDHB13	5.37424678576	1.33606821107	4.38487996176;6.36361360976	1.27927927928;1.39285714286
IOH62763_	IOH62763		2.16693355047	1.15197077812	1.77770997419;2.55615712675	1.12962962963;1.17431192661
IOH13202_HLA-DQB1	IOH13202	HLA-DQB1	2.02797156365	1.14399446175	2.74558913345;1.31035399385	1.18518518519;1.10280373832
IOH10061_TUBA1B	IOH10061	TUBA1B	3.12462815307	1.20694174757	3.07134781489;3.17790849126	1.20388349515;1.21
IOH14185_C1orf76	IOH14185	C1orf76	1.84578390978	1.13353702372	0.821891614412;2.86967620515	1.07476635514;1.19230769231
IOH14000_FBXL18	IOH14000	FBXL18	1.83582109901	1.13296516568	0.98471240756;2.68692979047	1.08411214953;1.18181818182
IOH7255_BCAS2	IOH7255	BCAS2	2.12445795959	1.14953271028	1.14753320071;3.10138271848	1.09345794393;1.20560747664
IOH3754_C19orf42	IOH3754	C19orf42	2.21525416639	1.15474434612	1.52360600612;2.90690232666	1.11504424779;1.19444444444
IOH5427_COPZ1	IOH5427	COPZ1	1.59601104777	1.1192002442	0.561656671518;2.63036542402	1.05982905983;1.17857142857
IOH11094_EFCAB1	IOH11094	EFCAB1	1.59715759279	1.11926605505	0.478324803183;2.7159903824	1.05504587156;1.18348623853
IOH10544_ACYP2	IOH10544	ACYP2	1.69904799941	1.12511448983	0.834179976159;2.56391602265	1.07547169811;1.17475728155
IOH9685_MTO1	IOH9685	MTO1	1.55223858807	1.11668773704	2.50592381782;0.598553358325	1.17142857143;1.06194690265
IOH26963_SYT5	IOH26963	SYT5	1.50648295737	1.11406139732	0.478324803183;2.53464111156	1.05504587156;1.17307692308
IOH23182_	IOH23182		2.64739140786	1.17954870759	3.26420351163;2.03057930408	1.21495327103;1.14414414414
IOH21851_SLC22A6	IOH21851	SLC22A6	1.84208725772	1.1333248386	0.648517621709;3.03565689372	1.06481481481;1.20183486239
IOH45947_CCT8	IOH45947	CCT8	1.9390231674	1.13888888889	2.74558913345;1.13245720134	1.18518518519;1.09259259259
IOH11301_IL1F5	IOH11301	IL1F5	4.64584311281	1.29425837321	5.02095417453;4.27073205108	1.31578947368;1.27272727273
IOH59393_UBXD4	IOH59393	UBXD4	1.94593658996	1.13928571429	1.26150775591;2.63036542402	1.1;1.17857142857
IOH63051_IGL@	IOH63051	IGL@	3.48923775437	1.22787007191	4.63398945031;2.34448605844	1.29357798165;1.16216216216
IOH62930_AAMP	IOH62930	AAMP	1.84724152298	1.13362068966	2.97365261351;0.720830432458	1.19827586207;1.06896551724
IOH7287_CKM	IOH7287	CKM	2.07836228151	1.14688685209	1.21525512352;2.94146943949	1.09734513274;1.19642857143
IOH3256_ASB9	IOH3256	ASB9	1.54737125693	1.1164083558	2.64210519818;0.452637315667	1.17924528302;1.05357142857
IOH12345_BBOX1	IOH12345	BBOX1	1.97004445788	1.14066948826	2.60283409521;1.33725482055	1.17699115044;1.10434782609
IOH46171_TREX1	IOH46171	TREX1	2.21902834224	1.15496098105	2.64631947609;1.79173720838	1.17948717949;1.13043478261
IOH4731_RET	IOH4731	RET	1.2130137691	1.09721648064	3.2019874362;-0.775959898003	1.21138211382;0.983050847458
IOH6454_C1orf75	IOH6454	C1orf75	2.57578577218	1.17543859649	-0.480674730769;5.63224627512	1.0;1.35087719298
IOH29680_GUSB	IOH29680	GUSB	1.54905243818	1.11650485437	0.534188853705;2.56391602265	1.05825242718;1.17475728155
IOH2886_DNAJB6	IOH2886	DNAJB6	2.07079325306	1.14645239539	1.56895172415;2.57263478197	1.11764705882;1.17525773196
IOH14163_TUBA1B	IOH14163	TUBA1B	1.48124248396	1.11261261261	-0.480674730769;3.44315969869	1.0;1.22522522523
IOH28795_MGC50811	IOH28795	MGC50811	2.03628669962	1.14447174447	0.786367077725;3.28620632151	1.07272727273;1.21621621622
IOH40023_ICA1L	IOH40023	ICA1L	2.50832609463	1.17156646036	2.07252374109;2.94412844817	1.14655172414;1.19658119658
IOH2959_SNX2	IOH2959	SNX2	3.55119534138	1.23142639207	3.49272392306;3.6096667597	1.22807017544;1.2347826087
IOH29468_NPM3	IOH29468	NPM3	1.75809080204	1.1285035035	0.931905663836;2.58427594024	1.08108108108;1.17592592593
IOH40605_ASAHL	IOH40605	ASAHL	1.65253841383	1.12244487365	0.589086445262;2.7159903824	1.06140350877;1.18348623853
IOH43660_PRSS1	IOH43660	PRSS1	1.27881868265	1.10099363453	2.57578577218;-0.0181484068716	1.17543859649;1.02654867257
IOH13936_GJA5	IOH13936	GJA5	5.69274571997	1.35434981685	6.72257978146;4.66291165848	1.41346153846;1.29523809524
IOH14557_PAPSS2	IOH14557	PAPSS2	1.26634043965	1.10027739251	2.50592381782;0.026757061468	1.17142857143;1.02912621359
IOH53733_BCAP31	IOH53733	BCAP31	10.6574400629	1.63931963952	6.61139556899;14.7034845568	1.40707964602;1.87155963303
IOH7147_SULT1C2	IOH7147	SULT1C2	1.88035250021	1.13552123552	1.08885904101;2.67184595941	1.09009009009;1.18095238095
IOH6636_WDR71	IOH6636	WDR71	2.12921514204	1.14980576907	1.75699084845;2.50143943562	1.12844036697;1.17117117117
IOH28816_WASL	IOH28816	WASL	0.935930109405	1.08131208131	-0.62957921681;2.50143943562	0.991452991453;1.17117117117
IOH45736_PRSS21	IOH45736	PRSS21	1.20293383915	1.09663790004	2.56391602265;-0.158048344347	1.17475728155;1.01851851852
