Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
TWSG1	IOH10689	163.0	134.0	0	48	IOH10689_TWSG1	1.21641791045	3.26349601056	1.77303804846
SNPH	IOH28750	184.0	157.0	0	296	IOH28750_SNPH	1.17197452229	2.52606411339	2.11105548551
EFCAB4A	IOH23248	149.0	127.0	0	1838	IOH23248_EFCAB4A	1.17322834646	2.54686833129	1.93301050191
WIF1	IOH11153	168.0	141.0	0	2436	IOH11153_WIF1	1.1914893617	2.84986627263	2.02073290229
C1QTNF5	IOH22540	192.0	160.0	0	2748	IOH22540_C1QTNF5	1.2	2.99107999207	2.05774556511
CLPS	IOH7303	140.0	118.0	0	3347	IOH7303_CLPS	1.18644067797	2.76609542211	2.03535660368
ZNF281	IOH29217	169.0	138.0	0	4296	IOH29217_ZNF281	1.22463768116	3.39988347699	1.35970338173
CCDC123	IOH21674	188.0	159.0	0	5951	IOH21674_CCDC123	1.18238993711	2.69888305058	1.95866808343
MFGE8	IOH3899	235.0	141.0	0	5963	IOH3899_MFGE8	1.66666666667	10.7342989417	14.8157000629
MFGE8	IOH3899	313.0	145.0	0	5964	IOH3899_MFGE8	2.15862068966	18.8971011842	14.8157000629
EPS8L1	IOH45841	173.0	146.0	0	6092	IOH45841_EPS8L1	1.18493150685	2.74105433127	2.3014574466
NSUN5	IOH57853	166.0	140.0	0	6167	IOH57853_NSUN5	1.18571428571	2.75404267729	2.32772929771
PDE4D	IOH7426	139.0	118.0	0	6709	IOH7426_PDE4D	1.17796610169	2.62548006588	1.54724151432
THG1L	IOH27788	154.0	131.0	0	7458	IOH27788_THG1L	1.17557251908	2.58576427824	1.52422312297
KLHL1	IOH11076	155.0	131.0	0	8847	IOH11076_KLHL1	1.18320610687	2.71242543881	1.89992845918
HYLS1	IOH10054	149.0	126.0	0	8850	IOH10054_HYLS1	1.18253968254	2.70136771845	1.50852490051
GFM2	IOH10140	150.0	128.0	0	8852	IOH10140_GFM2	1.171875	2.52441277859	2.08614066011
