Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
C3orf49	IOH11027	114.0	96.0	0	43	IOH11027_C3orf49	1.1875	2.78591743176	1.8710471182
TWSG1	IOH10689	121.0	102.0	0	47	IOH10689_TWSG1	1.1862745098	2.76456715618	1.14194621271
SPG21	IOH4511	116.0	99.0	0	102	IOH4511_SPG21	1.17171717172	2.51095176151	1.18763183088
TWF1	IOH25866	120.0	102.0	0	240	IOH25866_TWF1	1.17647058824	2.59376495161	1.84052722942
IGHG1	IOH29385	120.0	98.0	0	278	IOH29385_IGHG1	1.22448979592	3.4303471781	1.64732953918
CENPH	IOH10319	125.0	101.0	0	531	IOH10319_CENPH	1.23762376238	3.65916484154	3.21186599886
CENPH	IOH10319	121.0	102.0	0	532	IOH10319_CENPH	1.1862745098	2.76456715618	3.21186599886
C16orf3	IOH61989	120.0	102.0	0	651	IOH61989_C16orf3	1.17647058824	2.59376495161	1.227347315
CORO6	IOH40669	127.0	101.0	0	709	IOH40669_CORO6	1.25742574257	4.00415147256	1.84631033627
MRPS35	IOH40909	114.0	95.0	0	712	IOH40909_MRPS35	1.2	3.00369024259	2.15953996554
SETMAR	IOH14421	124.0	103.0	0	868	IOH14421_SETMAR	1.20388349515	3.07134781489	1.37829761285
ICT1	IOH11951	123.0	104.0	0	1010	IOH11951_ICT1	1.18269230769	2.70215865836	1.27205515701
C2orf34	IOH23174	178.0	106.0	0	1182	IOH23174_C2orf34	1.67924528302	11.3530176316	6.09359880387
CPNE2	IOH28984	131.0	110.0	0	1326	IOH28984_CPNE2	1.19090909091	2.84531001653	1.89502866016
BCL2L2	IOH45796	127.0	107.0	0	1373	IOH45796_BCL2L2	1.18691588785	2.77574113218	2.50611587381
KIF20A	IOH13299	126.0	107.0	0	1953	IOH13299_KIF20A	1.17757009346	2.61292033904	1.45850624708
PLEK2	IOH3142	121.0	101.0	0	2533	IOH3142_PLEK2	1.19801980198	2.96919157949	3.28865624036
PLEK2	IOH3142	121.0	98.0	0	2534	IOH3142_PLEK2	1.23469387755	3.60812090123	3.28865624036
SPRYD4	IOH12056	106.0	90.0	0	2617	IOH12056_SPRYD4	1.17777777778	2.61653857888	2.40807229843
FTL	IOH27869	110.0	90.0	0	2688	IOH27869_FTL	1.22222222222	3.3908419063	2.49660572654
ND	IOH28622	110.0	91.0	0	3498	IOH28622_ND	1.20879120879	3.15684914252	1.80143361191
PSMC3	IOH46472	127.0	108.0	0	3770	IOH46472_PSMC3	1.17592592593	2.58427594024	2.17063339435
PRB3	IOH63220	123.0	105.0	0	3862	IOH63220_PRB3	1.17142857143	2.50592381782	1.3444688267
CREB1	IOH9797	119.0	101.0	0	4049	IOH9797_CREB1	1.17821782178	2.62420494846	1.90935284283
UNQ1887	IOH11788	122.0	104.0	0	4080	IOH11788_UNQ1887	1.17307692308	2.53464111156	1.25621772812
ND	IOH7444	127.0	107.0	0	4093	IOH7444_ND	1.18691588785	2.77574113218	1.69196522779
SSX2	IOH5423	127.0	102.0	0	4104	IOH5423_SSX2	1.24509803922	3.78938038364	2.43057274624
