IDName	ID	Name	zscore	ratio	zscores	ratios
IOH22988_NOL6	IOH22988	NOL6	1.01431240042	1.09444291525	2.79579935767;-0.767174556821	1.23121387283;0.957671957672
IOH61798_KLHL32	IOH61798	KLHL32	1.12016699544	1.10256974114	2.75733551346;-0.517001522575	1.22826086957;0.976878612717
IOH40669_CORO6	IOH40669	CORO6	2.42766173342	1.20295066541	2.1934719249;2.66185154195	1.18497109827;1.22093023256
IOH10136_ND	IOH10136	ND	2.23382768589	1.18806935057	1.82427423644;2.64338113535	1.15662650602;1.21951219512
IOH14001_MARVELD3	IOH14001	MARVELD3	1.43415096769	1.12667538411	3.18207455912;-0.313772623736	1.26086956522;0.992481203008
IOH21971_DTWD1	IOH21971	DTWD1	2.13299232611	1.18032786885	1.63475563138;2.63122902085	1.14207650273;1.21857923497
IOH53792_LAX1	IOH53792	LAX1	2.2620248939	1.19023414843	2.70240569152;1.82164409629	1.22404371585;1.15642458101
IOH14830_USP53	IOH14830	USP53	1.34490963938	1.11982401656	3.3708474683;-0.681028189535	1.27536231884;0.964285714286
IOH11036_CNIH3	IOH11036	CNIH3	2.161978944	1.18255327245	2.54981460987;1.77414327812	1.21232876712;1.15277777778
IOH5162_INHBE	IOH5162	INHBE	1.50895285916	1.13241818581	0.412971263713;2.60493445461	1.04827586207;1.21656050955
IOH5425_BTN3A2	IOH5425	BTN3A2	2.2954802621	1.19280263355	2.90065236935;1.69030815484	1.23926380368;1.14634146341
IOH11633_ND	IOH11633	ND	1.64177474614	1.14261538462	2.59763363229;0.685915859989	1.216;1.06923076923
IOH28473_OR10K1	IOH28473	OR10K1	1.25441147599	1.11287615741	2.53169289545;-0.0228699434681	1.2109375;1.01481481481
IOH14850_PARP3	IOH14850	PARP3	1.28222448713	1.11501145913	-0.13125773649;2.69570671075	1.00649350649;1.22352941176
IOH57875_CASC4	IOH57875	CASC4	2.20443591185	1.18581284173	1.65520417765;2.75366764605	1.14364640884;1.22797927461
IOH3196_TIMP1	IOH3196	TIMP1	1.5525268904	1.13576351593	2.61203005047;0.493023730338	1.21710526316;1.05442176871
IOH22653_CISH	IOH22653	CISH	1.99539538935	1.16976407285	3.14832046278;0.842470315922	1.2582781457;1.08125
IOH7298_MSMB	IOH7298	MSMB	2.69779006822	1.22368935837	2.5359926305;2.85958750593	1.21126760563;1.23611111111
IOH3089_C2orf49	IOH3089	C2orf49	1.24341716103	1.11203208556	2.62605253571;-0.139218213638	1.21818181818;1.00588235294
