IDName	ID	Name	zscore	ratio	zscores	ratios
IOH27883_HNRPF	IOH27883	HNRPF	1.39159882362	1.12634463857	2.62094563818;0.162252009062	1.20952380952;1.04316546763
IOH23236_IGHG3	IOH23236	IGHG3	1.98614603007	1.16657245967	1.01579733339;2.95649472675	1.10091743119;1.23222748815
IOH22588_ND	IOH22588	ND	1.85219407829	1.15750910004	2.74240545625;0.961982700338	1.21774193548;1.09727626459
IOH34694_BDNF	IOH34694	BDNF	1.7069107508	1.14767904509	0.831705428211;2.58211607339	1.08846153846;1.20689655172
IOH53792_LAX1	IOH53792	LAX1	1.91659973467	1.16186686876	2.61011816338;1.22308130595	1.20879120879;1.11494252874
IOH14567_GNAI3	IOH14567	GNAI3	1.77653547691	1.15238994272	-1.52020000466;5.07327095848	0.929328621908;1.37545126354
IOH13084_TMEM186	IOH13084	TMEM186	1.50143601826	1.13377636303	2.97089133542;0.031980701088	1.23320158103;1.03435114504
IOH7539_PTN	IOH7539	PTN	1.43748861314	1.12944960017	2.76588889743;0.109088328861	1.21933085502;1.03956834532
IOH23049_	IOH23049		2.38933614399	1.19385281621	2.55739482529;2.22127746269	1.2052238806;1.18248175182
IOH21478_AP2M1	IOH21478	AP2M1	2.49340805715	1.20089445438	2.96138158989;2.02543452442	1.23255813953;1.16923076923
IOH11633_ND	IOH11633	ND	1.4974177888	1.13350448451	2.52381799527;0.47101758233	1.20295202952;1.0640569395
IOH22832_PHC2	IOH22832	PHC2	2.08454059807	1.17322996144	1.55284709511;2.61623410103	1.13725490196;1.20920502092
IOH29302_GTF2IRD2	IOH29302	GTF2IRD2	1.79639652065	1.15373376623	2.74890670394;0.843886337356	1.21818181818;1.08928571429
IOH40811_SPHAR	IOH40811	SPHAR	2.12250553977	1.17579871774	2.52302760524;1.7219834743	1.20289855072;1.14869888476
IOH41769_LMNA	IOH41769	LMNA	2.18573444308	1.18007686586	3.04967390623;1.32179497994	1.23853211009;1.12162162162
IOH28846_ND	IOH28846	ND	2.09435159093	1.17389378571	1.62563899773;2.56306418413	1.14218009479;1.20560747664
IOH57717_PTGER3	IOH57717	PTGER3	2.06961745146	1.17222024234	1.40201160064;2.73722330229	1.12704918033;1.21739130435
IOH46462_CCNA2	IOH46462	CCNA2	2.13205520185	1.17644486004	2.77691980212;1.48719060158	1.22007722008;1.1328125
IOH46773_ND	IOH46773	ND	2.26731257744	1.18559654631	2.53703270851;1.99759244638	1.20384615385;1.16734693878
IOH11817_ND	IOH11817	ND	2.18089078072	1.17974913749	2.71094650674;1.6508350547	1.2156133829;1.14388489209
IOH26724_TMEM150	IOH26724	TMEM150	1.73930750793	1.14987105093	2.74890670394;0.729708311919	1.21818181818;1.08156028369
IOH26205_ND	IOH26205	ND	2.19349576364	1.18060200669	2.53950419732;1.84748732995	1.20401337793;1.15719063545
IOH26783_PLEKHG5	IOH26783	PLEKHG5	1.65548707959	1.14419965401	2.52786428227;0.783109876901	1.20322580645;1.08517350158
