Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
TNFAIP8L1	IOH10838	219.0	180.0	0	123	IOH10838_TNFAIP8L1	1.21666666667	2.72185439998	1.86274081006
ZNF408	IOH10087	218.0	178.0	0	342	IOH10087_ZNF408	1.22471910112	2.84280409208	2.24599113821
ND	IOH55284	198.0	163.0	0	568	IOH55284_ND	1.21472392638	2.69267392782	2.27285456526
FTL	IOH27879	187.0	154.0	0	1088	IOH27879_FTL	1.21428571429	2.68609186644	1.69525931942
GYS1	IOH6268	187.0	151.0	0	1184	IOH6268_GYS1	1.23841059603	3.04845396129	2.08098707361
WIF1	IOH11153	168.0	139.0	0	2435	IOH11153_WIF1	1.20863309353	2.60118800982	1.67805153243
PLEK2	IOH3142	176.0	142.0	0	2533	IOH3142_PLEK2	1.23943661972	3.0638651081	1.46727876084
FTL	IOH27869	210.0	173.0	0	2687	IOH27869_FTL	1.21387283237	2.67989027102	1.95970387345
OR4D6	IOH28245	189.0	156.0	0	3516	IOH28245_OR4D6	1.21153846154	2.64482740465	2.27400487648
NFIC	IOH12484	212.0	175.0	0	4033	IOH12484_NFIC	1.21142857143	2.64317682618	3.00071598685
NFIC	IOH12484	209.0	166.0	0	4034	IOH12484_NFIC	1.25903614458	3.35825514751	3.00071598685
CREB1	IOH9797	189.0	157.0	0	4049	IOH9797_CREB1	1.20382165605	2.52891894831	2.18160614426
HVCN1	IOH9839	177.0	147.0	0	4062	IOH9839_HVCN1	1.20408163265	2.53282386553	1.65539027646
IGHG1	IOH13984	171.0	142.0	0	4287	IOH13984_IGHG1	1.20422535211	2.53498256977	1.37144098544
SORBS2	IOH12407	175.0	144.0	0	4329	IOH12407_SORBS2	1.21527777778	2.70099292208	2.13564687097
PPIL4	IOH10407	184.0	153.0	0	4561	IOH10407_PPIL4	1.20261437908	2.51078532945	1.70865819749
IGHG1	IOH12297	162.0	133.0	0	5647	IOH12297_IGHG1	1.21804511278	2.74255902466	2.2315312427
MYL7	IOH11842	156.0	127.0	0	5676	IOH11842_MYL7	1.22834645669	2.89728793067	1.7784181148
MFGE8	IOH3899	278.0	123.0	0	5963	IOH3899_MFGE8	2.26016260163	18.3954389184	17.8016860809
MFGE8	IOH3899	277.0	127.0	0	5964	IOH3899_MFGE8	2.1811023622	17.2079332434	17.8016860809
TSPAN6	IOH10449	156.0	127.0	0	6166	IOH10449_TSPAN6	1.22834645669	2.89728793067	1.88476233925
HAMP	IOH13487	193.0	160.0	0	6532	IOH13487_HAMP	1.20625	2.56539331572	1.57273465894
SLC25A46	IOH10147	187.0	152.0	0	7256	IOH10147_SLC25A46	1.23026315789	2.9260772889	2.48014756309
C5orf28	IOH13312	174.0	137.0	0	8037	IOH13312_C5orf28	1.2700729927	3.52403152101	2.69054141855
BDNF	IOH22708	149.0	122.0	0	8150	IOH22708_BDNF	1.22131147541	2.79162065394	1.59170422265
CDC25A	IOH5852	180.0	147.0	0	8258	IOH5852_CDC25A	1.22448979592	2.83935986734	1.36496487273
HBEGF	IOH23272	170.0	138.0	0	8356	IOH23272_HBEGF	1.23188405797	2.95042363611	1.46971221554
LMAN1	IOH55394	197.0	113.0	0	8571	IOH55394_LMAN1	1.74336283186	10.6329698956	9.40483125016
LMAN1	IOH55394	188.0	119.0	0	8572	IOH55394_LMAN1	1.57983193277	8.1766926047	9.40483125016
ZNF643	IOH13099	154.0	125.0	0	8834	IOH13099_ZNF643	1.232	2.95216511601	2.59167877788
C20orf28	IOH11253	158.0	128.0	0	8835	IOH11253_C20orf28	1.234375	2.98783824322	2.63580080364
HLA-DQB1	IOH13202	161.0	127.0	0	8837	IOH13202_HLA-DQB1	1.26771653543	3.48863691054	3.05275548506
HLA-DQB1	IOH13202	150.0	124.0	0	8838	IOH13202_HLA-DQB1	1.20967741935	2.61687405958	3.05275548506
ZBTB25	IOH26026	167.0	129.0	0	9053	IOH26026_ZBTB25	1.29457364341	3.89203776502	2.63969249611
