IDName	ID	Name	zscore	ratio	zscores	ratios
IOH12459_FAM55C	IOH12459	FAM55C	2.84916860427	1.1805422838	3.53716930777;2.16116790076	1.21978021978;1.14130434783
IOH4511_SPG21	IOH4511	SPG21	2.70014175837	1.17204301075	3.45429529298;1.94598822377	1.21505376344;1.12903225806
IOH3416_DDC	IOH3416	DDC	3.0443812551	1.19167561762	3.00577240135;3.08299010885	1.18947368421;1.19387755102
IOH2955_SUGT1	IOH2955	SUGT1	2.54993864108	1.1634766528	2.57750028551;2.52237699665	1.16504854369;1.1619047619
IOH45566_MED8	IOH45566	MED8	1.72060283618	1.116178118	0.86370538684;2.57750028551	1.06730769231;1.16504854369
IOH57334_TRIM36	IOH57334	TRIM36	1.86834214388	1.1246039604	1.07236482229;2.66431946548	1.07920792079;1.17
IOH23249_IGL@	IOH23249	IGL@	1.44879773777	1.10067657709	-0.151056628364;3.04865210391	1.00943396226;1.19191919192
IOH55086_NDEL1	IOH55086	NDEL1	2.61093115223	1.16695516704	1.99934814367;3.22251416079	1.1320754717;1.20183486239
IOH61989_C16orf3	IOH61989	C16orf3	2.87000759057	1.18173076923	3.19034155587;2.54967362527	1.2;1.16346153846
IOH40669_CORO6	IOH40669	CORO6	2.27189028694	1.14761904762	2.68936813645;1.85441243742	1.17142857143;1.12380952381
IOH10136_ND	IOH10136	ND	1.98290349832	1.13113760356	1.41957412288;2.54623287376	1.09900990099;1.16326530612
IOH9912_CLDN11	IOH9912	CLDN11	1.66279779934	1.11288139123	2.756508904;0.569086694671	1.17525773196;1.05050505051
IOH27879_FTL	IOH27879	FTL	1.65049056477	1.11217948718	0.695108562998;2.60587256655	1.05769230769;1.16666666667
IOH45796_BCL2L2	IOH45796	BCL2L2	2.82156173297	1.17896781354	1.83393239197;3.80919107397	1.12264150943;1.23529411765
IOH13512_NUDCD2	IOH13512	NUDCD2	1.32734665241	1.09375	2.60587256655;0.0488207382675	1.16666666667;1.02083333333
IOH11153_WIF1	IOH11153	WIF1	2.03929548506	1.1343537415	1.47271840358;2.60587256655	1.10204081633;1.16666666667
IOH12049_C9orf123	IOH12049	C9orf123	2.74636400781	1.17467915001	3.84109053367;1.65163748194	1.23711340206;1.11224489796
IOH14317_NECAP2	IOH14317	NECAP2	1.13321593683	1.08267837093	2.756508904;-0.490077030352	1.17525773196;0.990099009901
IOH22372_PLTP	IOH22372	PLTP	0.9639364883	1.07302405498	-0.677999589948;2.60587256655	0.979381443299;1.16666666667
IOH3082_ASNSD1	IOH3082	ASNSD1	1.92001609949	1.12755102041	1.29379932521;2.54623287376	1.09183673469;1.16326530612
IOH9807_PDE9A	IOH9807	PDE9A	2.09893517785	1.13775510204	1.47271840358;2.72515195212	1.10204081633;1.17346938776
IOH42416_PYDC1	IOH42416	PYDC1	2.19483802688	1.14322461658	0.886846127368;3.5028299264	1.06862745098;1.21782178218
IOH12472_LOC541469	IOH12472	LOC541469	2.48536349658	1.15979381443	0.948872854555;4.02185413862	1.07216494845;1.24742268041
IOH14853_DCLRE1C	IOH14853	DCLRE1C	2.28019680497	1.14809278351	1.26159389111;3.29879971884	1.09;1.20618556701
IOH12695_TMEPAI	IOH12695	TMEPAI	1.98388872762	1.13119379298	1.0068536335;2.96092382174	1.07547169811;1.18691588785
