Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
SPINK5L2	IOH50193	94.0	80.0	0	38132	IOH50193_SPINK5L2	1.175	2.51798686764	1.9358058869
	IOH50093	93.0	79.0	0	38136	IOH50093_	1.17721518987	2.55530415108	1.77299001629
SFRS11	IOH52044	96.0	78.0	0	38164	IOH52044_SFRS11	1.23076923077	3.45748023426	1.81814822769
SLC10A3	IOH52023	93.0	79.0	0	38175	IOH52023_SLC10A3	1.17721518987	2.55530415108	0.85620586108
RAET1G	IOH63303	93.0	79.0	0	38271	IOH63303_RAET1G	1.17721518987	2.55530415108	2.48468517314
CEBPZ	IOH22256	98.0	82.0	0	38319	IOH22256_CEBPZ	1.19512195122	2.85696302767	1.97615951118
STX8	IOH9940	91.0	77.0	0	38337	IOH9940_STX8	1.18181818182	2.63284655823	1.27088295539
RNPEP	IOH3753	103.0	79.0	0	38353	IOH3753_RNPEP	1.30379746835	4.6877203477	2.1279672289
RNPEP	IOH3753	108.0	79.0	0	38354	IOH3753_RNPEP	1.36708860759	5.753928446	2.1279672289
FBXL5	IOH22444	93.0	79.0	0	38356	IOH22444_FBXL5	1.17721518987	2.55530415108	0.472899366725
