IDName	ID	Name	zscore	ratio	zscores	ratios
IOH12459_FAM55C	IOH12459	FAM55C	2.38112106692	1.19953138488	1.7866552101;2.97558692375	1.1572327044;1.24183006536
IOH14846_RBM4	IOH14846	RBM4	1.9247466764	1.16705847781	1.01617158166;2.83332177114	1.10240963855;1.23170731707
IOH14693_ND	IOH14693	ND	1.98864265332	1.17160493827	2.52651197133;1.45077333531	1.20987654321;1.13333333333
IOH4517_C1orf164	IOH4517	C1orf164	0.199917452888	1.04432981414	1.26694458106;2.58216491355;-1.02433481153;-2.02510487153	1.12025316456;1.21383647799;0.957219251337;0.886010362694
IOH4756_ND	IOH4756	ND	1.50687660225	1.13732531056	0.36253362919;2.6512195753	1.05590062112;1.21875
IOH29385_IGHG1	IOH29385	IGHG1	2.43020901657	1.20302419355	2.56338204555;2.29703598758	1.2125;1.1935483871
IOH23056_ZFYVE16	IOH23056	ZFYVE16	0.606201156816	1.0732385637	2.61560976594;1.73906061246;-0.930197230708;-0.999668520433	1.21621621622;1.15384615385;0.963917525773;0.958974358974
IOH5462_KREMEN2	IOH5462	KREMEN2	2.07595183225	1.17781734395	2.84106197832;1.31084168618	1.23225806452;1.12337662338
IOH55284_ND	IOH55284	ND	2.83239774832	1.23164156906	2.98393749105;2.68085800559	1.24242424242;1.22085889571
IOH29425_PPA2	IOH29425	PPA2	1.78253772331	1.15693972835	0.936971010721;2.6281044359	1.09677419355;1.21710526316
IOH25858_USP6NL	IOH25858	USP6NL	4.62340482951	1.35907905835	4.37796356087;4.86884609815	1.34161490683;1.37654320988
IOH42266_LOC286208	IOH42266	LOC286208	1.45839306472	1.13387550829	2.63212446014;0.284661669301	1.21739130435;1.05035971223
IOH25781_BTBD12	IOH25781	BTBD12	5.97073750957	1.45494729684	5.75091968604;6.1905553331	1.43930635838;1.47058823529
IOH53792_LAX1	IOH53792	LAX1	2.10123434741	1.17961629845	1.60783157734;2.59463711749	1.14450867052;1.21472392638
IOH12864_HOXD1	IOH12864	HOXD1	1.70365918862	1.15132719755	0.771037157335;2.6362812199	1.08496732026;1.21768707483
IOH12695_TMEPAI	IOH12695	TMEPAI	2.02499772158	1.17419175028	2.63995835354;1.41003708963	1.21794871795;1.13043478261
IOH23055_	IOH23055		2.24904465746	1.1901336074	2.91346831522;1.5846209997	1.23741007194;1.14285714286
IOH13659_WAS	IOH13659	WAS	3.65597080598	1.29024216524	4.3516640616;2.96027755037	1.33974358974;1.24074074074
IOH28335_OR2J1	IOH28335	OR2J1	2.05519381978	1.17634032634	3.00031744997;1.11007018959	1.24358974359;1.10909090909
IOH14394_NCOA4	IOH14394	NCOA4	1.31141927967	1.12341772152	2.60118553937;0.0216530199645	1.21518987342;1.03164556962
IOH13647_IGHG1	IOH13647	IGHG1	2.34142577969	1.19670690261	2.71941641518;1.9634351442	1.22360248447;1.16981132075
