Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
FAM119B	IOH11318	129.0	110.0	0	35	IOH11318_FAM119B	1.17272727273	2.52947311168	2.70331483307
FAM119B	IOH11318	130.0	109.0	0	36	IOH11318_FAM119B	1.19266055046	2.87715655446	2.70331483307
NIP7	IOH10163	129.0	107.0	0	384	IOH10163_NIP7	1.20560747664	3.1029815255	2.34998236708
EPHA3	IOH44403	121.0	103.0	0	486	IOH44403_EPHA3	1.17475728155	2.56488126016	2.0374977816
NDEL1	IOH55086	125.0	106.0	0	569	IOH55086_NDEL1	1.17924528302	2.64316260564	2.26918400709
CORO6	IOH40669	128.0	109.0	0	710	IOH40669_CORO6	1.17431192661	2.55711321801	1.73151469964
LGI1	IOH10604	136.0	114.0	0	835	IOH10604_LGI1	1.19298245614	2.88277134983	1.67115162056
ND	IOH4706	131.0	110.0	0	1100	IOH4706_ND	1.19090909091	2.84660696325	1.65735501985
CPNE2	IOH28984	130.0	111.0	0	1325	IOH28984_CPNE2	1.17117117117	2.50233102528	3.20945380244
CPNE2	IOH28984	139.0	111.0	0	1326	IOH28984_CPNE2	1.25225225225	3.91657657959	3.20945380244
C1orf19	IOH56031	136.0	116.0	0	1398	IOH56031_C1orf19	1.1724137931	2.52400528665	1.75943653286
YKT6	IOH5843	130.0	111.0	0	1713	IOH5843_YKT6	1.17117117117	2.50233102528	1.08738396028
	BC109119	133.0	108.0	0	3928	BC109119_	1.23148148148	3.55428528019	2.33560174209
FCAR	IOH11326	130.0	111.0	0	4071	IOH11326_FCAR	1.17117117117	2.50233102528	1.96964628286
UNQ1887	IOH11788	134.0	114.0	0	4079	IOH11788_UNQ1887	1.17543859649	2.57676500183	2.14670202625
DIMT1L	IOH5430	129.0	110.0	0	4112	IOH5430_DIMT1L	1.17272727273	2.52947311168	2.33512338406
PAICS	IOH10896	147.0	122.0	0	4148	IOH10896_PAICS	1.20491803279	3.09095599643	2.51907528048
MGC59937	IOH28105	131.0	110.0	0	4263	IOH28105_MGC59937	1.19090909091	2.84660696325	2.50540491759
MAPK11	IOH11420	141.0	115.0	0	4273	IOH11420_MAPK11	1.22608695652	3.4601920239	2.67097977868
CDK5RAP1	IOH4833	146.0	112.0	0	4535	IOH4833_CDK5RAP1	1.30357142857	4.81170422211	4.78827500662
CDK5RAP1	IOH4833	147.0	113.0	0	4536	IOH4833_CDK5RAP1	1.30088495575	4.76484579113	4.78827500662
PPP3CB	IOH11513	134.0	113.0	0	4616	IOH11513_PPP3CB	1.18584070796	2.75820239401	2.43797893691
CALB2	IOH59514	135.0	113.0	0	4626	IOH59514_CALB2	1.19469026549	2.9125595784	1.96003062855
COMMD7	IOH62089	131.0	110.0	0	4702	IOH62089_COMMD7	1.19090909091	2.84660696325	1.57099267634
MAP2K1IP1	IOH14346	141.0	118.0	0	4757	IOH14346_MAP2K1IP1	1.19491525424	2.9164839136	1.33437092622
	IOH28298	131.0	111.0	0	5034	IOH28298_	1.18018018018	2.65946942021	1.73409887232
RAD54B	IOH45968	130.0	111.0	0	5330	IOH45968_RAD54B	1.17117117117	2.50233102528	2.45040703392
SNX27	IOH13478	159.0	135.0	0	5645	IOH13478_SNX27	1.17777777778	2.61756584823	2.45459428561
MYL7	IOH11842	158.0	134.0	0	5676	IOH11842_MYL7	1.17910447761	2.64070662678	1.71996737707
SEC31B	IOH26901	158.0	127.0	0	5848	IOH26901_SEC31B	1.24409448819	3.77428590703	3.04354561731
TMIGD2	IOH12237	180.0	139.0	0	5897	IOH12237_TMIGD2	1.29496402878	4.66157084042	4.05447272604
TMIGD2	IOH12237	174.0	142.0	0	5898	IOH12237_TMIGD2	1.22535211268	3.44737461165	4.05447272604
ACLY	IOH5808	156.0	132.0	0	5901	IOH5808_ACLY	1.18181818182	2.68804003747	2.08596261249
PIP5K3	IOH21668	138.0	116.0	0	5948	IOH21668_PIP5K3	1.18965517241	2.82473566314	0.819058071542
MFGE8	IOH3899	241.0	139.0	0	5963	IOH3899_MFGE8	1.73381294964	12.3161325097	15.0864822459
MFGE8	IOH3899	279.0	136.0	0	5964	IOH3899_MFGE8	2.05147058824	17.8568319822	15.0864822459
PGD	IOH3407	142.0	118.0	0	6141	IOH3407_PGD	1.20338983051	3.06430053933	3.1382088522
PGD	IOH3407	143.0	118.0	0	6142	IOH3407_PGD	1.21186440678	3.21211716506	3.1382088522
SERPINB2	IOH53975	171.0	130.0	0	6183	IOH53975_SERPINB2	1.31538461538	5.01775410094	4.80804429934
SERPINB2	IOH53975	164.0	127.0	0	6184	IOH53975_SERPINB2	1.29133858268	4.59833449773	4.80804429934
C12orf64	IOH63459	149.0	123.0	0	6261	IOH63459_C12orf64	1.21138211382	3.20370483677	2.52760534941
ELOVL5	IOH41608	161.0	128.0	0	7164	IOH41608_ELOVL5	1.2578125	4.01356043271	0.25713069242
FLJ25680	IOH22552	142.0	119.0	0	7385	IOH22552_FLJ25680	1.19327731092	2.88791431367	1.49061141913
PCOLCE	IOH4174	136.0	116.0	0	8121	IOH4174_PCOLCE	1.1724137931	2.52400528665	1.78536927422
LMAN1	IOH55394	198.0	125.0	0	8571	IOH55394_LMAN1	1.584	9.70304083426	8.90012953295
LMAN1	IOH55394	185.0	124.0	0	8572	IOH55394_LMAN1	1.49193548387	8.09721823163	8.90012953295
PCDHB13	IOH57255	143.0	116.0	0	8591	IOH57255_PCDHB13	1.23275862069	3.57656160437	3.72692679262
PCDHB13	IOH57255	145.0	116.0	0	8592	IOH57255_PCDHB13	1.25	3.87729198086	3.72692679262
LOC285636	IOH59249	143.0	122.0	0	8637	IOH59249_LOC285636	1.17213114754	2.51907528048	1.72692750015
	IOH62763	139.0	116.0	0	8672	IOH62763_	1.19827586207	2.97510085139	2.14038128074
LOC203547	IOH43503	156.0	127.0	0	8765	IOH43503_LOC203547	1.22834645669	3.49960304346	1.18850586153
ZBTB37	IOH4570	148.0	126.0	0	8946	IOH4570_ZBTB37	1.1746031746	2.56219327097	1.60210422979
CCDC110	IOH11906	156.0	130.0	0	9095	IOH11906_CCDC110	1.2	3.00517388904	2.72556350845
NFKBIL2	IOH6213	154.0	130.0	0	9156	IOH6213_NFKBIL2	1.18461538462	2.73682986078	1.41038133088
UPP1	IOH26622	146.0	122.0	0	9187	IOH26622_UPP1	1.19672131148	2.94798581744	2.23863377554
IGL@	IOH63051	172.0	138.0	0	9491	IOH63051_IGL@	1.24637681159	3.81409501769	3.74806833974
IGL@	IOH63051	166.0	134.0	0	9492	IOH63051_IGL@	1.23880597015	3.6820416618	3.74806833974
IGKC	IOH63055	162.0	137.0	0	9496	IOH63055_IGKC	1.18248175182	2.69961426562	2.12668997172
EEF1B2	IOH5493	167.0	132.0	0	9507	IOH5493_EEF1B2	1.26515151515	4.14157019051	3.54790873782
EEF1B2	IOH5493	164.0	137.0	0	9508	IOH5493_EEF1B2	1.19708029197	2.95424728514	3.54790873782
C19orf33	IOH14605	176.0	150.0	0	9567	IOH14605_C19orf33	1.17333333333	2.54004424006	0.843553602766
CXorf41	IOH27391	138.0	116.0	0	9906	IOH27391_CXorf41	1.18965517241	2.82473566314	1.24525860029
SORCS3	IOH53649	146.0	121.0	0	10141	IOH53649_SORCS3	1.20661157025	3.12049528961	1.53846010949
RPLP0	IOH10167	165.0	138.0	0	12150	IOH10167_RPLP0	1.19565217391	2.92933753323	1.67190383945
TERF2IP	IOH5018	161.0	132.0	0	12531	IOH5018_TERF2IP	1.2196969697	3.34873556158	2.99472109418
TERF2IP	IOH5018	158.0	134.0	0	12532	IOH5018_TERF2IP	1.17910447761	2.64070662678	2.99472109418
SNX2	IOH2959	150.0	123.0	0	13207	IOH2959_SNX2	1.21951219512	3.34551265658	2.43189834207
ITPA	IOH13043	146.0	120.0	0	13211	IOH13043_ITPA	1.21666666667	3.29587991965	1.92364891076
NPM3	IOH29468	144.0	121.0	0	13224	IOH29468_NPM3	1.19008264463	2.83219178818	2.45071703324
GCNT1	IOH42122	142.0	117.0	0	13257	IOH42122_GCNT1	1.21367521368	3.24370191415	2.18636129862
LOC285074	IOH57370	141.0	120.0	0	13341	IOH57370_LOC285074	1.175	2.56911484313	1.39742773195
PTOV1	IOH28062	142.0	121.0	0	13346	IOH28062_PTOV1	1.17355371901	2.54388828675	0.751217114858
FPGT	IOH21675	146.0	123.0	0	13352	IOH21675_FPGT	1.18699186992	2.77828137734	2.13214090805
IL1RN	IOH57147	146.0	122.0	0	13385	IOH57147_IL1RN	1.19672131148	2.94798581744	1.87047885873
GJA5	IOH13936	146.0	117.0	0	13831	IOH13936_GJA5	1.24786324786	3.84002197694	2.96509336023
IGL@	IOH63070	133.0	113.0	0	14296	IOH63070_IGL@	1.17699115044	2.60384520961	2.08167293268
	Dr-1	137.0	116.0	0	14327	Dr-1_	1.18103448276	2.6743704749	2.15724497967
PIM1	IOH14704	134.0	114.0	0	14461	IOH14704_PIM1	1.17543859649	2.57676500183	1.5351193932
FGFR2	IOH36731	327.0	138.0	0	15165	IOH36731_FGFR2	2.36956521739	23.4051536022	9.10189770497
FGFR2	IOH36731	253.0	142.0	0	15166	IOH36731_FGFR2	1.78169014085	13.1512238024	9.10189770497
RGS5	IOH23200	153.0	129.0	0	15582	IOH23200_RGS5	1.18604651163	2.76179209597	0.816240108177
SUHW2	IOH26263	147.0	124.0	0	16322	IOH26263_SUHW2	1.18548387097	2.75197831399	1.47501104748
ND	IOH22256	138.0	113.0	0	16343	IOH22256_ND	1.22123893805	3.37563113158	2.71334646008
HSP90B1	IOH12344	152.0	126.0	0	16764	IOH12344_HSP90B1	1.20634920635	3.11591904356	1.0020334928
CCDC53	IOH54745	153.0	111.0	0	17433	IOH54745_CCDC53	1.37837837838	6.11651410852	3.85674865859
SLC40A1	IOH26826	258.0	138.0	0	17566	IOH26826_SLC40A1	1.86956521739	14.6839726839	3.7009277983
MC5R	IOH29738	143.0	118.0	0	17891	IOH29738_MC5R	1.21186440678	3.21211716506	2.10980942188
TGM1	IOH22155	141.0	116.0	0	17944	IOH22155_TGM1	1.21551724138	3.27583122788	2.81252652393
ASPA	IOH62806	139.0	113.0	0	18231	IOH62806_ASPA	1.23008849558	3.52998831598	2.41024467326
CLYBL	IOH22167	162.0	136.0	0	18621	IOH22167_CLYBL	1.19117647059	2.85127069636	1.24906954874
ALF	IOH11195	148.0	121.0	0	19141	IOH11195_ALF	1.22314049587	3.40879879104	1.67205849843
KCNK10	IOH35942	153.0	127.0	0	19617	IOH35942_KCNK10	1.20472440945	3.08757874811	3.03253317426
KCNK10	IOH35942	151.0	126.0	0	19618	IOH35942_KCNK10	1.19841269841	2.97748760041	3.03253317426
C1orf128	IOH57159	137.0	114.0	0	19781	IOH57159_C1orf128	1.20175438596	3.03577452384	2.42376182782
TCAP	IOH13813	128.0	108.0	0	20068	IOH13813_TCAP	1.18518518519	2.7467685285	1.68671926537
CXYorf3	IOH11514	120.0	102.0	0	20089	IOH11514_CXYorf3	1.17647058824	2.59476537524	1.55408664382
C20orf142	IOH22367	120.0	102.0	0	20202	IOH22367_C20orf142	1.17647058824	2.59476537524	1.39442008609
C9orf43	IOH11171	123.0	103.0	0	20397	IOH11171_C9orf43	1.19417475728	2.90356789776	1.62942225389
GPD1	IOH22621	128.0	108.0	0	20716	IOH22621_GPD1	1.18518518519	2.7467685285	1.77182169802
	IOH11035	195.0	157.0	0	20765	IOH11035_	1.24203821656	3.73841967325	0.731081154167
CALCOCO1	IOH5116	138.0	112.0	0	20909	IOH5116_CALCOCO1	1.23214285714	3.56582123378	3.0614672259
CALCOCO1	IOH5116	128.0	109.0	0	20910	IOH5116_CALCOCO1	1.17431192661	2.55711321801	3.0614672259
SENP3	IOH29594	126.0	107.0	0	21092	IOH29594_SENP3	1.17757009346	2.61394334317	2.18547411003
C3orf37	IOH27830	136.0	114.0	0	21143	IOH27830_C3orf37	1.19298245614	2.88277134983	2.56479084038
MDM4	IOH40040	140.0	114.0	0	21205	IOH40040_MDM4	1.22807017544	3.49478404585	3.76390570013
MDM4	IOH40040	141.0	112.0	0	21206	IOH40040_MDM4	1.25892857143	4.0330273544	3.76390570013
HSPC047	IOH27416	128.0	109.0	0	21354	IOH27416_HSPC047	1.17431192661	2.55711321801	2.1079295879
GLTP	IOH57161	136.0	114.0	0	21385	IOH57161_GLTP	1.19298245614	2.88277134983	3.78379004119
GLTP	IOH57161	140.0	108.0	0	21386	IOH57161_GLTP	1.2962962963	4.68480873255	3.78379004119
SRD5A2L	IOH4350	146.0	123.0	0	21701	IOH4350_SRD5A2L	1.18699186992	2.77828137734	1.28483288132
ASMTL	IOH27833	131.0	111.0	0	21890	IOH27833_ASMTL	1.18018018018	2.65946942021	1.16199378384
TBCCD1	IOH11055	146.0	124.0	0	21971	IOH11055_TBCCD1	1.17741935484	2.61131410563	1.70214300282
GSTA2	IOH5711	146.0	117.0	0	22308	IOH5711_GSTA2	1.24786324786	3.84002197694	3.0826196938
N.D.	IOH21081	155.0	131.0	0	22354	IOH21081_N.D.	1.18320610687	2.71224872842	1.83039296165
MRPL30	IOH13804	192.0	148.0	0	22367	IOH13804_MRPL30	1.2972972973	4.70226855421	0.812391091375
ZNF167	IOH10297	206.0	125.0	0	22434	IOH10297_ZNF167	1.648	10.8193519918	6.34833695623
KIAA1217	IOH13523	135.0	112.0	0	22691	IOH13523_KIAA1217	1.20535714286	3.09861511316	1.77907350222
GPR83	IOH60001	131.0	111.0	0	23113	IOH60001_GPR83	1.18018018018	2.65946942021	1.63315927836
IL13RA2	IOH14471	146.0	117.0	0	23398	IOH14471_IL13RA2	1.24786324786	3.84002197694	2.55047984116
ND	IOH4771	163.0	123.0	0	24087	IOH4771_ND	1.32520325203	5.1890143141	3.54549804349
CMAS	IOH11216	159.0	134.0	0	24119	IOH11216_CMAS	1.18656716418	2.77087350616	1.01063971367
MGC35295	IOH22811	291.0	130.0	0	24152	IOH22811_MGC35295	2.23846153846	21.1183957962	9.55008473815
RPL14	IOH22189	304.0	124.0	0	24153	IOH22189_RPL14	2.45161290323	24.8362590264	12.3230547433
GSTZ1	IOH4046	150.0	122.0	0	24380	IOH4046_GSTZ1	1.22950819672	3.51986653339	2.98344242183
TMEM25	IOH28892	152.0	127.0	0	25079	IOH28892_TMEM25	1.1968503937	2.95023731632	2.13788818092
POLR3E	IOH4492	146.0	123.0	0	25110	IOH4492_POLR3E	1.18699186992	2.77828137734	0.74185512776
BMF	IOH40255	157.0	134.0	0	25205	IOH40255_BMF	1.17164179104	2.51053974741	1.27991623513
ADA	IOH6214	140.0	119.0	0	25346	IOH6214_ADA	1.17647058824	2.59476537524	2.42517508028
ND	IOH10967	172.0	132.0	0	26695	IOH10967_ND	1.30303030303	4.80226571462	5.62026969685
ND	IOH10967	176.0	126.0	0	26696	IOH10967_ND	1.39682539683	6.43827367908	5.62026969685
	IOH9637	143.0	122.0	0	26729	IOH9637_	1.17213114754	2.51907528048	2.00253785962
LOC339047	IOH26908	164.0	136.0	0	27967	IOH26908_LOC339047	1.20588235294	3.10777601749	0.920567429861
PFAAP5	IOH9700	172.0	140.0	0	28049	IOH9700_PFAAP5	1.22857142857	3.50352708437	1.75929090072
COMMD9	IOH12792	150.0	123.0	0	29351	IOH12792_COMMD9	1.21951219512	3.34551265658	2.56556964763
DNAJC16	IOH26485	150.0	128.0	0	30680	IOH26485_DNAJC16	1.171875	2.51460746239	2.26153748038
DPP10	IOH26806	158.0	133.0	0	30683	IOH26806_DPP10	1.18796992481	2.79534096469	2.27075865382
