Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
ND	IOH11052	158.0	130.0	0	39	IOH11052_ND	1.21538461538	3.0100028435	1.79999822282
SUGT1	IOH2955	170.0	142.0	0	375	IOH2955_SUGT1	1.19718309859	2.70066056832	2.57009402361
IGFBP3	IOH53821	165.0	139.0	0	2976	IOH53821_IGFBP3	1.18705035971	2.52845049735	1.17832354095
NCF1	IOH62864	179.0	151.0	0	3041	IOH62864_NCF1	1.18543046358	2.50091969528	2.66830531091
NCF1	IOH62864	188.0	156.0	0	3042	IOH62864_NCF1	1.20512820513	2.83569092654	2.66830531091
BTN3A2	IOH5425	161.0	133.0	0	4107	IOH5425_BTN3A2	1.21052631579	2.92743404073	2.03293867736
ST3GAL1	IOH21481	159.0	132.0	0	4139	IOH21481_ST3GAL1	1.20454545455	2.82578684034	2.42936275885
XK	IOH27206	165.0	138.0	0	4227	IOH27206_XK	1.19565217391	2.67464187282	2.29587330912
SORBS2	IOH12407	164.0	135.0	0	4329	IOH12407_SORBS2	1.21481481481	3.00031884811	2.16012698748
BACE1	IOH39612	168.0	139.0	0	4370	IOH39612_BACE1	1.20863309353	2.89525794852	1.73370101983
ERCC8	IOH57744	187.0	155.0	0	4564	IOH57744_ERCC8	1.2064516129	2.85818278679	1.05168452167
FIS1	IOH5476	173.0	145.0	0	4747	IOH5476_FIS1	1.19310344828	2.63132523078	1.96647675486
BRUNOL4	IOH46145	166.0	139.0	0	5323	IOH46145_BRUNOL4	1.19424460432	2.65071964774	1.60276029849
RAD54B	IOH45968	172.0	143.0	0	5330	IOH45968_RAD54B	1.2027972028	2.79607458177	2.0302515791
LFNG	IOH11293	193.0	162.0	0	5639	IOH11293_LFNG	1.19135802469	2.60166103802	2.10175880628
ND	IOH7434	182.0	153.0	0	5690	IOH7434_ND	1.18954248366	2.57080517037	1.84877786725
ND	IOH11824	190.0	160.0	0	5814	IOH11824_ND	1.1875	2.53609231925	1.80329963827
DNAJC11	IOH13555	183.0	152.0	0	5924	IOH13555_DNAJC11	1.20394736842	2.81562212031	1.30042724999
MFGE8	IOH3899	289.0	160.0	0	5963	IOH3899_MFGE8	1.80625	13.0520034348	12.3615648262
MFGE8	IOH3899	276.0	160.0	0	5964	IOH3899_MFGE8	1.725	11.6711262176	12.3615648262
RIOK3	IOH26128	199.0	160.0	0	7443	IOH26128_RIOK3	1.24375	3.49208423885	3.82577953154
RIOK3	IOH26128	204.0	159.0	0	7444	IOH26128_RIOK3	1.28301886792	4.15947482423	3.82577953154
CDC25A	IOH5852	182.0	151.0	0	8258	IOH5852_CDC25A	1.20529801325	2.83857688543	1.26862513262
HLA-DQB1	IOH13202	191.0	160.0	0	8837	IOH13202_HLA-DQB1	1.19375	2.64231364365	2.00498569725
PECAM1	IOH10695	177.0	145.0	0	8843	IOH10695_PECAM1	1.22068965517	3.10016417986	2.08533556857
HYLS1	IOH10054	187.0	153.0	0	8849	IOH10054_HYLS1	1.22222222222	3.12621078814	2.80319857359
PYGB	IOH9832	163.0	137.0	0	8862	IOH9832_PYGB	1.1897810219	2.57485922597	1.77700442256
ND	IOH2282	178.0	150.0	0	8938	IOH2282_ND	1.18666666667	2.521929476	0.935691031629
CHID1	IOH4593	182.0	152.0	0	8949	IOH4593_CHID1	1.19736842105	2.70381019989	1.57135613408
TMEM31	IOH21588	182.0	150.0	0	8965	IOH21588_TMEM31	1.21333333333	2.97514046011	1.92983125483
RNF148	IOH22786	169.0	139.0	0	8989	IOH22786_RNF148	1.21582733813	3.01752709891	1.24462441828
EFCAB1	IOH11094	181.0	151.0	0	9009	IOH11094_EFCAB1	1.19867549669	2.72602448871	2.12866024804
ZNF410	IOH27027	172.0	144.0	0	9050	IOH27027_ZNF410	1.19444444444	2.65411601303	1.82795015659
FAM27E3	IOH22051	167.0	140.0	0	9149	IOH22051_FAM27E3	1.19285714286	2.62713916874	1.47737247955
HOXA6	IOH34820	190.0	159.0	0	9161	IOH34820_HOXA6	1.19496855346	2.66302346162	1.16557001104
TAAR6	IOH28332	186.0	154.0	0	9175	IOH28332_TAAR6	1.20779220779	2.88096674912	1.49897703376
ND	IOH26766	160.0	134.0	0	9183	IOH26766_ND	1.19402985075	2.64706982236	1.8995330482
SPRY1	IOH39997	174.0	144.0	0	9242	IOH39997_SPRY1	1.20833333333	2.89016340059	1.40689265446
ND	IOH25824	191.0	160.0	0	9348	IOH25824_ND	1.19375	2.64231364365	1.15930053761
IGKC	IOH63055	188.0	153.0	0	9496	IOH63055_IGKC	1.22875816993	3.2372919117	2.01539955259
ZNF415	IOH40379	170.0	141.0	0	9988	IOH40379_ZNF415	1.20567375887	2.84496283701	1.63202836646
DHRSX	IOH21679	194.0	163.0	0	10740	IOH21679_DHRSX	1.19018404908	2.58170883893	1.54258543823
ND	IOH43679	196.0	160.0	0	11647	IOH43679_ND	1.225	3.17342026565	2.10592894342
PTK2B	IOH28634	251.0	168.0	0	12300	IOH28634_PTK2B	1.49404761905	7.74599537315	5.08345397153
SLC35B2	IOH14744	187.0	156.0	0	12864	IOH14744_SLC35B2	1.19871794872	2.72674597843	2.49023890755
NDUFA11	IOH40018	190.0	160.0	0	13202	IOH40018_NDUFA11	1.1875	2.53609231925	1.92327698618
ACAD11	IOH41874	197.0	160.0	0	13266	IOH41874_ACAD11	1.23125	3.27964159005	2.12642982292
FADS1	IOH55275	203.0	169.0	0	13362	IOH55275_FADS1	1.20118343195	2.76864788155	2.16060470966
