IDName	ID	Name	zscore	ratio	zscores	ratios
IOH40366_CLDN16	IOH40366	CLDN16	12.9319005892	1.83426272455	29.3583619587;-3.49456078022	2.8622754491;0.80625
IOH37738_PTK6	IOH37738	PTK6	1.98268560745	1.14903100775	3.56508724934;0.400283965553	1.2480620155;1.05
IOH44706_ING5	IOH44706	ING5	1.50761126294	1.11929956041	3.98117753047;-0.965955004593	1.2741020794;0.96449704142
IOH40228_YTHDF3	IOH40228	YTHDF3	-1.25478234206	0.946421439412	2.73737748183;-5.24694216595	1.19626168224;0.696581196581
IOH56888_PFKL	IOH56888	PFKL	15.1046306737	1.97023809524	-1.34978058444;31.5590419318	0.940476190476;3.0
IOH57018_ATP6V0D1	IOH57018	ATP6V0D1	18.1901288714	2.1633369823	37.0544137071;-0.674155964316	3.34391534392;0.98275862069
IOH9834_PEX11A	IOH9834	PEX11A	2.03808691976	1.15249817288	0.709701007754;3.36647283177	1.06936416185;1.23563218391
IOH11842_MYL7	IOH11842	MYL7	1.97979934351	1.14885037749	0.621268064604;3.33833062242	1.06382978723;1.23387096774
IOH5165_NAT9	IOH5165	NAT9	0.743380837591	1.0714719374	3.41281031797;-1.92604864278	1.23853211009;0.904411764706
IOH11381_TAF6	IOH11381	TAF6	1.60766179676	1.12556099551	0.0218375125219;3.19348608099	1.02631578947;1.22480620155
IOH21855_PNCK	IOH21855	PNCK	2.60501803856	1.18797826752	3.89195864743;1.3180774297	1.26851851852;1.10743801653
IOH6391_WDR4	IOH6391	WDR4	1.83155307794	1.13957272213	3.08060723146;0.582498924419	1.21774193548;1.06140350877
IOH13834_COPS2	IOH13834	COPS2	2.52479024421	1.18295739348	3.40582960576;1.64375088265	1.2380952381;1.12781954887
IOH28691_MT1X	IOH28691	MT1X	1.93162736514	1.14583564378	1.11115407461;2.75210065567	1.09448818898;1.19718309859
IOH10611_ND	IOH10611	ND	2.49865901828	1.18132203014	2.77444646561;2.22287157095	1.19858156028;1.1640625
IOH21668_PIP5K3	IOH21668	PIP5K3	2.1172525617	1.15745257453	4.27807810894;-0.0435729855328	1.29268292683;1.02222222222
IOH3899_MFGE8	IOH3899	MFGE8	6.66049104552	1.44178082192	8.4663200109;4.85466208014	1.55479452055;1.32876712329
IOH27071_ARHGEF16	IOH27071	ARHGEF16	1.75392802837	1.13471473495	3.62117799173;-0.113321934989	1.25157232704;1.01785714286
IOH27807_	IOH27807		2.00651197027	1.15052212648	1.06282165839;2.95020228215	1.09146341463;1.20958083832
IOH14775_BRSK2	IOH14775	BRSK2	4.89208413374	1.3311090974	7.37247626933;2.41169199816	1.48633879781;1.17587939698
IOH28855_ZNF83	IOH28855	ZNF83	1.88326780273	1.14280917056	3.0939863146;0.672549290855	1.21857923497;1.06703910615
IOH26154_LY86	IOH26154	LY86	6.50648917391	1.43214296504	12.4186010037;0.594377344163	1.80213903743;1.06214689266
nd_nd	nd	nd	1.46598821085	1.11669467636	-1.15955617683;0.462477095226;0.837274621262;-0.225914219492;-0.685703760277;-1.26498175213;6.15167757645;32.890612785;-0.197666719495;-0.0853477573997;0.429261155105;-1.1249699209;-1.17339067921;-0.301817029801;-0.779107361617;-0.697328644328;-0.821379452197;-0.0550273584641;-0.0586830093996;-0.993615736154;0.647575695443;0.457351287835	0.952380952381;1.05389221557;1.0773480663;1.01081081081;0.982035928144;0.94578313253;1.4099378882;3.08333333333;1.01257861635;1.01960784314;1.0518134715;0.954545454545;0.951515151515;1.00606060606;0.97619047619;0.981308411215;0.973544973545;1.02150537634;1.02127659574;0.962765957447;1.06547619048;1.05357142857
KLHL21_	KLHL21		4.51666456626	1.30761431762	5.63590723538;3.39742189714	1.37765957447;1.23756906077
IOH11035_	IOH11035		1.75157971648	1.13456777119	1.38844970402;0.547457586176;4.13265719304;0.937754382685	1.11184210526;1.05921052632;1.28358208955;1.08363636364
IOH10798_APPBP2	IOH10798	APPBP2	26.2362171443	2.66688311688	1.19922647751;51.2732078111	1.1;4.23376623377
IOH14058_CYB5R1	IOH14058	CYB5R1	2.24396237641	1.16538242009	2.55633430603;1.9315904468	1.18493150685;1.14583333333
IOH4093_SERPINB9	IOH4093	SERPINB9	4.31657596876	1.29509222783	8.93003436774;-0.296882430229	1.5838150289;1.00636942675
IOH29856_PPP2R5E	IOH29856	PPP2R5E	2.39054903971	1.17455621302	0.641384960284;4.13971311914	1.0650887574;1.28402366864
IOH7333_FABP4	IOH7333	FABP4	1.72791738623	1.13308691807	0.901056544816;2.55477822765	1.08133971292;1.18483412322
IOH26570_LRRC6	IOH26570	LRRC6	1.78668420688	1.13676470588	2.79711150141;0.776256912354	1.2;1.07352941176
IOH56688_UBB	IOH56688	UBB	1.87356327659	1.14220183486	-0.398658546401;4.14578509958	1.0;1.28440366972
IOH3509_GDI1	IOH3509	GDI1	3.4470915177	1.24067752101	-1.33859091341;8.23277394881	0.941176470588;1.54017857143
IOH51995_ZNF468	IOH51995	ZNF468	8.19487906036	1.53780700602	16.7167626302;-0.327004509455	2.07112970711;1.00448430493
IOH55674_MAP7	IOH55674	MAP7	9.43415263421	1.61536412404	-1.18333422778;20.0516394962	0.950892857143;2.27983539095
IOH54738_CYGB	IOH54738	CYGB	1.57430772713	1.12347360692	4.45834879499;-1.30973334073	1.30396475771;0.94298245614
IOH63557_ANKDD1A	IOH63557	ANKDD1A	2.92791627971	1.20818611955	6.10856553286;-0.252732973442	1.407239819;1.00913242009
IOH63606_FLJ25404	IOH63606	FLJ25404	1.03150849519	1.08950375153	3.19130340159;-1.1282864112	1.22466960352;0.954337899543
IOH13232_NUP62CL	IOH13232	NUP62CL	2.31316424507	1.16971326165	4.66990147567;-0.0435729855328	1.31720430108;1.02222222222
IOH11617_SIGLEC7	IOH11617	SIGLEC7	14.4932405208	1.93197563306	29.6485272293;-0.662046187705	2.88043478261;0.983516483516
IOH22521_MFSD8	IOH22521	MFSD8	3.18754100276	1.22443414235	2.96530992498;3.40977208053	1.21052631579;1.23834196891
IOH6616_ND	IOH6616	ND	1.47386296599	1.1171875	3.26316130005;-0.315435368073	1.22916666667;1.00520833333
IOH27414_CLEC1A	IOH27414	CLEC1A	6.21588734747	1.41395631068	-1.59707231433;14.0288470093	0.925;1.90291262136
IOH29628_CXCR4	IOH29628	CXCR4	2.56297519558	1.18534711182	6.15123051556;-1.0252801244	1.40990990991;0.960784313725
IOH10083_LMBR1L	IOH10083	LMBR1L	9.67819122784	1.63063672439	-0.0758534910663;19.4322359467	1.0202020202;2.24107142857
IOH6548_FKSG24	IOH6548	FKSG24	1.28711394207	1.10550023708	2.68497921903;-0.110751334886	1.19298245614;1.01801801802
IOH4423_ND	IOH4423	ND	2.62929709251	1.18949771689	5.80317830438;-0.544584119361	1.38812785388;0.990867579909
IOH11995_MITF	IOH11995	MITF	1.74947467009	1.13443603165	-1.48197042702;-1.44489278825;9.42320352716;0.501558368476	0.932203389831;0.934523809524;1.61467889908;1.05633802817
IOH7375_CETN2	IOH7375	CETN2	2.71163511913	1.19465065502	5.19393903728;0.229331200986	1.35;1.03930131004
IOH6114_ND	IOH6114	ND	24.469435904	2.55631313131	48.2480632926;0.690808515354	4.04444444444;1.06818181818
