IDName	ID	Name	zscore	ratio	zscores	ratios
IOH26919_WFDC2	IOH26919	WFDC2	1.81372411289	1.15449206959	0.807666646651;2.81978157914	1.08270676692;1.22627737226
IOH5687_CARS	IOH5687	CARS	2.94310973819	1.23507721673	3.63315011426;2.25306936212	1.28431372549;1.18584070796
IOH40642_LATS1	IOH40642	LATS1	2.5667699984	1.20822421575	3.02437736356;2.10916263325	1.24087591241;1.17557251908
IOH28984_CPNE2	IOH28984	CPNE2	2.477146017	1.20182926829	2.68508935439;2.2692026796	1.21666666667;1.18699186992
IOH28942_GDA	IOH28942	GDA	2.76949227918	1.22268907563	2.35729194881;3.18169260956	1.19327731092;1.25210084034
IOH40815_S100A12	IOH40815	S100A12	2.02138582033	1.1693093728	1.1349662938;2.90780534685	1.10606060606;1.23255813953
IOH14346_MAP2K1IP1	IOH14346	MAP2K1IP1	3.87429936954	1.30152046851	5.21167809699;7.10086717931;1.62499465858;1.55965754328	1.39694656489;1.53174603175;1.14102564103;1.13636363636
IOH13325_MRPL44	IOH13325	MRPL44	2.19155702335	1.1814516129	1.79597767404;2.58713637266	1.15322580645;1.20967741935
IOH7427_COX11	IOH7427	COX11	2.56149753923	1.20784800953	1.79680265704;3.32619242142	1.15328467153;1.26241134752
IOH13876_TPM2	IOH13876	TPM2	2.84607820523	1.22815371763	3.86352774251;1.82862866795	1.3007518797;1.15555555556
IOH3899_MFGE8	IOH3899	MFGE8	10.1788423787	1.75136905401	10.5257138475;9.83197090989	1.77611940299;1.72661870504
IOH10449_TSPAN6	IOH10449	TSPAN6	2.34237339261	1.19221282593	1.55965754328;3.12508924193	1.13636363636;1.2480620155
IOH61805_TRGV9	IOH61805	TRGV9	2.08404765315	1.1737804878	1.01584557749;3.15224972882	1.09756097561;1.25
IOH11214_CLUAP1	IOH11214	CLUAP1	1.4292489107	1.12705857828	0.24747047759;2.61102734381	1.04273504274;1.21138211382
IOH45681_ALDH7A1	IOH45681	ALDH7A1	2.13481007658	1.17740254326	0.787962468012;3.48165768514	1.08130081301;1.2735042735
IOH23255_C15orf42	IOH23255	C15orf42	2.028558116	1.16982113821	1.2182057787;2.83891045329	1.112;1.22764227642
IOH2930_MRPL3	IOH2930	MRPL3	1.91981158402	1.1620617378	1.01584557749;2.82377759055	1.09756097561;1.2265625
IOH63051_IGL@	IOH63051	IGL@	2.29543147607	1.18886337543	1.80467172567;2.78619122647	1.15384615385;1.22388059701
IOH62930_AAMP	IOH62930	AAMP	2.31843583937	1.19050480769	3.37123115433;1.26564052441	1.265625;1.11538461538
IOH29210_TRA16	IOH29210	TRA16	2.21681060698	1.18325353397	1.09124807695;3.34237313701	1.10294117647;1.26356589147
IOH6347_MGC11257	IOH6347	MGC11257	2.26641904415	1.18679324895	3.19896576626;1.33387232204	1.25333333333;1.12025316456
IOH54732_DCTD	IOH54732	DCTD	2.81142655235	1.22568121534	2.83812464946;2.78472845523	1.2275862069;1.22377622378
IOH11195_ALF	IOH11195	ALF	1.48270006854	1.13087248322	2.65843926592;0.306960871167	1.21476510067;1.04697986577
IOH14152_TFDP2	IOH14152	TFDP2	1.94870318106	1.16412324235	1.35547905796;2.54192730417	1.12179487179;1.2064516129
IOH50136_	IOH50136		1.58592373433	1.13823781009	0.319915123401;2.85193234526	1.04790419162;1.22857142857
IOH61542_HAVCR2	IOH61542	HAVCR2	1.33581188852	1.12039155861	2.69524501471;-0.023621237663	1.21739130435;1.02339181287
IOH42270_TMIE	IOH42270	TMIE	2.01341567847	1.1687406786	3.24957480682;0.777256550117	1.25694444444;1.08053691275
IOH34798_TAS2R1	IOH34798	TAS2R1	2.69171701308	1.21713957055	3.32743486923;2.05599915693	1.2625;1.1717791411
IOH12806_MIER1	IOH12806	MIER1	1.29290003713	1.11732966568	0.0518508410021;2.53394923326	1.02877697842;1.20588235294
IOH4120_UBE3A	IOH4120	UBE3A	2.87232941633	1.23002682249	0.432592304285;5.31206652838	1.05594405594;1.40410958904
IOH26996_DDX11	IOH26996	DDX11	1.40902504397	1.12561554302	2.52830265339;0.289747434551	1.20547945205;1.04575163399
IOH11073_SSFA2	IOH11073	SSFA2	45.281877515	4.2560788609	-0.0966383296783;90.6603933597	1.01818181818;7.49397590361
IOH59135_PRKY	IOH59135	PRKY	1.75723488562	1.15046138902	0.905047238053;2.60942253318	1.08965517241;1.21126760563
IOH27773_RPS6	IOH27773	RPS6	2.0941016257	1.17449786975	1.36649152336;2.82171172805	1.12258064516;1.22641509434
IOH11166_ND	IOH11166	ND	1.85066219912	1.15712771595	1.02254802188;2.67877637636	1.09803921569;1.21621621622
IOH11099_SFRS14	IOH11099	SFRS14	2.30115983805	1.18927211172	2.06837044283;2.53394923326	1.1726618705;1.20588235294
